0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
3956	2188	16703	51	5857	19406	4184	4383	14074	18980	3543	19700	18953	18787	15629	1960	8308	17393	16893	17272
9921	8201	16297	13394	14058	13294	18737	6027	8509	3503	10932	2972	10626	18155	8711	17133	1350	14743	3109	7513
17160	2660	11443	9272	17679	5552	10988	16600	13808	10435	15816	4800	8801	15538	8827	6959	1582	13169	16800	18456
19709	13598	17022	13368	8906	12868	7433	7146	4566	8379	18690	129	13380	426	8091	5143	767	7577	13246	13696
18583	10708	12403	14521	10010	18078	9936	12001	13713	6475	9961	14376	9708	2266	4933	17650	5689	17641	8150	19555
8607	9537	12881	16456	6449	10127	5373	19329	6070	1866	3591	5482	2440	18142	17804	17392	1544	85	18084	14590
10562	18035	3682	12154	5786	2743	2141	10452	5958	4456	7930	18463	14058	3668	18336	11924	15986	6217	17537	6295
7197	4343	3965	4400	19640	13857	4715	5387	9343	19762	2107	1763	2299	9347	13664	716	706	9334	10955	5718
19818	1797	2306	14779	2400	6204	5322	16138	13983	12018	9843	1202	7485	16247	3771	17696	166	9546	8601	17466
16308	5253	7003	7138	9365	9147	15928	19986	4354	15146	6925	7197	8725	14584	10765	13513	6728	5885	13894	443
14588	11157	9203	14693	18766	679	16304	15530	6503	1453	16311	6360	4613	7680	14167	8936	2661	2004	18259	16311
8572	11424	16576	16481	16720	10206	19472	14617	19095	10842	8621	9128	19817	4556	1073	8733	16021	7519	10222	16254
15361	1899	2334	11728	4098	19146	18864	13123	6027	9443	4355	8794	7851	12898	5891	8825	2443	14092	18223	16554
3652	16443	734	3380	865	10036	574	2975	10336	7565	12947	17731	15255	12961	17960	13012	5757	6148	15214	10491
6416	15825	16541	12458	6327	2535	10379	15095	3304	14755	19963	6985	15196	4942	18984	565	5135	8733	19501	4906
15608	4782	13544	12321	1163	19116	8679	15006	10758	19572	14222	18174	16539	13571	15347	1157	4558	7375	7029	6805
10877	4002	13476	13679	5522	8459	6813	1896	12535	10059	14318	11590	18466	16575	296	13811	8142	7820	12817	14515
17102	12593	19365	18263	6926	9153	7688	13283	18822	6861	17728	3853	8751	4952	10822	11501	13732	766	15386	7996
1034	17834	12611	8166	348	18820	10380	10782	11394	3854	7587	12908	6940	2221	14673	11735	3985	19646	11022	12364
14021	19648	6052	6455	1174	4573	4385	18876	10790	12900	17317	9363	6435	8435	4246	3946	11660	15337	9540	9376
1937	9531	10878	12352	3406	1527	7730	17739	10354	6910	5240	488	6996	7384	12271	19356	18099	9365	6603	8339
19956	6533	17937	5690	17738	17244	1914	11453	19718	5882	17852	6689	16475	18631	12539	16331	2219	9291	13541	15244
10233	3599	4221	11716	16614	5339	4837	11238	15623	14209	2130	15284	8150	13111	13897	14791	17623	5955	11178	18526
4858	13147	15089	19970	9163	2625	12586	13896	15850	5369	4892	16792	9280	15712	9432	17319	11757	4138	10329	8026
19180	10445	7594	12714	15221	4161	19328	2859	8084	2113	11912	1318	8615	2251	8850	12735	14041	1008	129	7131
9623	9507	6584	19120	7869	9575	1128	10384	2797	1615	1282	14336	2710	297	19547	6483	4748	16519	5401	5008
6254	5923	3485	11117	7542	9142	19085	9775	12979	3481	391	16085	13446	17353	18198	18957	15006	2439	182	2633
8636	15956	6205	16589	14714	746	13007	4017	1984	1169	15152	4211	14796	8125	18674	19753	6760	14970	14777	9724
2588	4772	16123	965	3912	19671	14108	1091	11722	4601	8140	19054	3966	18171	14388	5392	19993	11594	915	6658
10565	13238	7820	14225	6136	6090	8989	2980	5532	19855	1301	12376	16663	6186	3301	10678	16613	3321	16965	6980
18605	14572	12994	17046	10792	9237	3214	18443	4885	18224	1822	10463	6049	2325	13206	6377	9678	1562	2321	13044
14792	6436	9089	6381	9889	653	10627	5253	4854	3273	5851	13460	4604	8041	11513	7704	19121	281	16785	19211
13254	13228	4255	11618	18602	19793	3471	15757	12921	14531	5	1309	16057	13001	2497	4444	13209	14184	8507	4843
15166	11024	14306	921	1807	3831	12480	18531	16830	19005	5825	20	16213	11977	17466	2543	19069	17797	5080	17315
3229	13039	8838	1812	9009	17883	18447	7354	9794	11113	18181	990	141	2748	15195	8393	48	6373	11703	619
3557	436	14491	5810	2014	17266	13453	18754	15480	14842	16708	9183	5450	3983	10259	2236	18215	9807	8502	15595
2504	621	15554	18320	8248	19295	15211	19561	11272	5876	4755	16357	7936	15431	15937	16800	873	14886	13662	11894
16369	7298	9240	11955	15760	2820	17769	3485	18148	14016	2920	17069	17880	10269	2947	15058	12628	10332	11816	6071
17137	10471	11753	13508	195	8088	15827	3038	10192	13291	11306	2910	4862	10950	5974	834	165	7429	4742	13943
218	3332	8708	855	9116	11591	15795	14778	8408	787	18496	11518	15340	18763	4233	18940	6443	11459	8083	4451
14080	15014	19357	16326	9260	9888	5184	13697	4199	6641	7983	4151	12058	11683	9854	322	12068	3370	207	18843
12760	6715	10554	19701	12682	5963	8103	6616	12232	10718	9197	2317	15186	15449	5177	4608	7360	8250	7348	6741
7456	12805	494	17626	13206	8774	15048	16031	8694	17156	17799	5367	6778	3259	14340	17499	10344	16416	15866	6648
6689	358	1724	15697	18371	15806	10357	2903	12835	16597	5023	6333	3199	3405	11539	5516	19594	7856	11781	16146
10920	1877	8955	12548	7156	19244	14505	13228	15401	17161	4393	3517	16803	8121	3569	1663	1413	609	7469	15961
9177	16137	3446	16628	18603	13747	1352	3474	15476	378	9214	3879	12101	9788	16798	6914	2386	10010	11579	16810
19072	8012	16771	3609	789	7092	13455	1776	15579	11434	7067	10872	16417	6889	8855	3728	368	321	415	12732
11474	15199	15035	6631	11682	163	16671	10721	7931	2159	5663	338	1688	19675	12025	2208	12115	17106	13455	3193
7733	17134	16876	7508	8387	4466	17338	13889	15906	11768	17068	16040	9995	1006	15941	1922	1038	7634	865	13088
10056	17888	2412	16311	14331	1467	17024	14053	9604	19260	10843	13990	9564	9995	5573	8519	5443	6941	19913	12958
34	4824	12605	3059	11137	7293	16620	19151	10884	11086	12746	12497	7768	12005	8496	11651	12686	18412	11530	8273
1379	14109	15675	3498	3066	1307	18603	14046	18708	7493	14853	295	14649	16650	6988	13235	12819	6713	17683	18945
4176	15453	1573	1996	17865	16125	5218	19273	4944	6628	16215	9084	1800	7571	9960	8322	13300	18355	2456	11993
3524	17494	7845	3869	260	14122	10895	6278	8919	14656	14512	11744	9332	19287	7168	11847	2388	2680	18908	12878
12412	9142	18834	12318	3425	2418	18184	10181	3823	2843	3457	1619	10504	7946	3679	13760	15761	7956	4172	15655
6746	9749	11091	1924	2389	4788	12213	7850	6732	9783	7371	19514	11553	17799	7918	15378	3560	6276	2865	6920
5396	5972	1399	391	2597	19141	17708	16694	5819	9044	2586	10214	6487	5346	19327	16866	9166	17406	14773	17794
16433	9648	2777	18894	19855	2854	13658	4368	4050	9807	19550	2267	15246	6239	10735	10211	5677	15329	4958	404
4975	9738	9216	13040	3227	6180	941	10964	10826	14150	4402	9657	5036	4348	2988	6512	19439	16824	14912	4632
1334	18522	13233	263	9061	2340	15220	4066	12118	11428	14982	19609	4648	14321	15116	5911	9791	15873	19215	7787
7226	716	9171	16880	6331	14614	2868	718	9295	6029	10686	19492	7509	19806	15031	2240	18668	1006	17179	4866
12293	2239	1195	17813	14582	5275	18247	11302	3696	19713	18797	16624	12720	6277	13199	17334	4343	9573	11236	14098
5979	9823	14965	6558	6853	118	19458	1708	16621	2625	95	10741	10561	18791	2472	2879	16594	12127	18540	2763
5667	8800	17502	7058	2733	11525	8666	10268	2930	16804	1234	9352	8989	12364	12236	1285	12806	3892	6118	9186
3179	16813	7598	19261	7542	15848	1756	9901	14849	13739	4010	6206	17597	14253	9927	19590	751	35	8940	1574
5560	1596	8436	19909	3866	3374	10933	7211	2037	8099	8374	9196	9869	1316	9743	11568	15085	17876	19766	7842
1118	18871	9926	7395	16956	11983	6878	814	13146	1357	4120	19649	15858	3268	4302	8191	17025	571	17654	12272
9175	19550	3873	13387	3943	17441	5338	7515	2361	17628	13539	2653	6573	9285	6408	5332	16911	321	7278	16210
9956	18811	16417	3786	18121	5629	7823	8470	15106	2279	16304	9820	13905	17879	9102	17805	2404	13981	12713	16046
4893	3488	8488	17120	8549	4123	5801	5576	15661	6386	17789	6852	7063	14866	17918	795	18276	19664	5511	17386
7904	14639	12158	11014	13297	10968	16383	6060	3822	18269	12310	12757	6942	4435	15799	3996	17556	7255	12723	5808
1061	10003	18287	2026	3470	12361	2679	3047	13841	779	4860	15427	5027	16999	18604	3448	14305	2808	18503	11392
2487	11272	6209	6344	17794	8016	7991	5585	11832	4557	18686	9846	1407	10052	17619	6975	1172	15666	17916	5843
9726	17560	19705	9582	15781	16229	4270	11264	14101	2247	9488	2941	16704	16797	18292	949	16100	16778	4300	18763
13738	16967	12974	25	1441	18758	18135	19644	9528	13701	2346	12077	11113	13865	9921	18406	15129	14936	19	16393
10675	5218	16861	17823	8606	10581	12305	11832	17021	18227	19158	17735	13630	914	8994	848	3277	14753	16532	15697
6495	19644	15866	18848	16461	1214	1576	12613	7095	16459	14838	3264	18558	8868	5140	8865	11522	4722	17240	6359
13725	767	9919	7165	8375	16701	17777	26	17777	345	7241	4109	11214	10417	15756	12908	698	7642	6182	2363
6409	5720	3527	3856	1769	12986	6819	4530	41	16223	3222	11151	8473	1424	14106	18555	8323	16785	15377	2756
13766	12181	2512	16580	8955	6314	1354	14813	14352	6331	17372	12508	12564	16525	8955	12845	2257	9469	17503	12676
17265	239	17081	11697	19440	7416	8682	726	6610	13126	10363	10091	5408	7509	7806	3906	15386	19582	238	17783
12424	19764	12901	11317	19080	19227	2148	16043	8240	11603	4169	10025	2743	12944	19821	10155	1893	16396	18762	8546
12031	14184	11988	19829	1225	8381	13933	2209	15406	19497	13019	4580	9999	8237	5536	16166	18506	8107	10712	13970
5944	555	9823	19047	19210	6970	16147	4072	16103	2591	3553	12191	10156	19368	6281	5320	5891	9356	17264	18186
18371	16654	13477	15416	18264	6229	5443	16198	3704	12882	10563	10786	2616	8716	15092	17090	17360	4892	5836	7708
705	1151	10826	18261	1955	12228	7467	6908	923	18008	9422	5668	12729	16644	11821	6894	3430	11208	6060	9647
14483	18233	13621	17372	14330	8676	17613	14751	8413	7074	14855	16686	2192	9898	8071	19350	3956	16788	4490	14275
8710	18367	2237	12388	12207	18615	9962	13209	11331	4314	7012	15309	2099	3705	15086	15487	18018	16080	1804	4791
7746	754	6032	8923	4191	11188	13500	5559	9536	4731	2317	1102	10784	14019	5962	2330	6190	5107	19532	979
8066	4383	12328	11962	17607	904	5056	7144	1714	18016	12211	2301	16664	19477	17306	9385	9251	7987	16894	17495
1619	8351	17131	14228	13555	4057	18437	8737	13537	13761	13330	18596	4829	269	2576	6921	5940	4083	10525	3651
3457	13484	9544	16184	14862	9583	8065	10209	17043	11968	9417	1216	7084	18364	6201	18570	79	14083	7777	6051
15822	4899	5415	15501	835	4657	15382	3042	13080	11176	15270	18881	11752	17271	18477	11598	4938	13640	18132	6043
15564	16270	14288	9036	10335	7163	6492	8998	4919	15168	13945	19467	17457	8350	3084	4970	7609	13619	6578	17512
7035	13038	18328	239	776	16600	19606	8540	4740	8383	19587	16165	1332	19936	5867	11844	9648	4998	13046	14500
5556	19567	10509	6181	12470	4858	19490	10128	19056	15339	17660	14301	9110	6221	6034	5337	9073	335	13428	8236
19322	4198	19937	14568	5500	10573	11609	10867	15157	943	6912	17268	16123	13974	17874	11536	12952	14564	17779	7669
15772	3789	4612	8236	5755	12765	8679	19512	1221	15346	703	16076	5567	16150	13613	11163	6782	16700	2019	14139
16070	9043	5769	17221	8394	16424	17765	9159	18358	15044	13174	18057	2807	14087	17109	15091	2580	17423	17277	12628
6067	14180	19466	13618	10962	19691	15534	2288	12525	14043	9084	12079	11614	14419	6269	5043	16302	1449	10514	12955
4164	10469	15956	931	10996	19106	17978	1922	2124	16988	8620	8736	19977	6227	12485	9462	10386	709	2513	3227
13728	8556	5347	3094	5207	10268	5939	6429	185	11395	19680	16266	4680	9367	10367	14566	9323	760	13840	4249
16061	8417	8830	2336	15856	6868	394	17664	8801	3307	1564	557	14962	4460	11149	4778	7145	12826	10186	12360
9558	15241	3590	4067	10462	6273	5482	15608	4584	6305	6993	18766	19352	8607	17626	13749	2081	16861	16614	9920
724	8648	5466	8305	10685	2268	19397	15793	5827	7674	4520	13944	18797	15620	18165	7875	643	6840	2328	5983
11512	6457	6334	6163	15474	9830	17146	8769	922	1242	6118	8152	18058	3730	19728	15576	7923	16776	10217	18163
4429	4492	9995	6240	102	5067	14304	16596	2116	6093	16041	19420	8810	1315	11474	11512	17948	9936	16100	14570
9569	15797	14432	940	6135	14232	1999	3293	18527	16032	5134	12185	17365	16489	15753	4577	12033	6838	2924	11701
15720	19792	13144	2139	7735	218	12252	5177	4248	9977	10754	3000	5568	16869	9284	2354	16573	16477	6182	3605
13272	12206	19050	19655	7505	3111	966	6138	2728	11132	7563	19199	6269	15125	16345	3734	7503	17266	11504	358
12697	18975	15367	17209	15181	13504	9851	777	11880	18953	19369	16891	18034	457	8969	1368	19807	14756	8616	14350
11577	5700	5844	10915	12707	11826	17208	9150	15120	19864	7222	17086	2326	10726	3920	4098	2550	9898	5539	220
3148	10736	9224	9823	1945	13560	3076	718	14811	12911	4088	10164	14107	4518	2480	13534	10415	673	2347	7759
18209	11808	3967	1435	4829	19358	14185	14095	7731	16364	15348	4122	13530	12841	3672	13923	8954	7159	14848	395
18342	9560	6170	16291	6780	5114	13828	8834	16077	571	18047	1052	4313	11717	3484	575	11961	18416	2723	7633
9615	10408	4778	15130	710	921	9715	8959	9371	5370	5029	591	945	17084	16503	18555	10838	2816	6675	7427
17093	18491	15019	7613	641	6030	4436	18834	3687	18877	13616	5807	18786	3674	8884	9500	7140	410	3574	7052
8262	17517	6172	2937	19439	14670	4664	18092	11978	19103	13657	6608	4661	1752	533	13434	16841	5437	16374	19925
12375	13504	9597	7236	6250	14844	13748	11760	16306	15006	9260	2518	12376	5769	19159	18624	15922	5391	13483	16333
364	3332	1510	4664	10635	13385	12356	1133	7609	12154	2387	9970	18618	3316	14714	16590	1758	1715	9136	9104
16622	18918	2251	494	9186	5336	1817	19764	12611	17181	3349	6861	19703	1720	6343	19891	13776	11293	3101	2165
16005	10705	7415	8632	5141	13295	1673	11561	19493	3948	8699	3238	13370	16707	2506	13080	11484	15087	1566	13226
2736	13505	2345	5022	4570	2933	13143	1542	10921	18812	5274	10788	18703	9349	14069	8000	444	13932	8983	12093
5798	11106	12565	4268	7340	14311	13571	9099	18051	17329	14136	14850	17474	19932	10344	19339	19940	16769	1214	17178
2965	5537	14232	4025	14346	15732	3931	7159	7569	12915	17311	12177	5052	13050	6442	10774	11505	12667	407	5141
6759	3456	4036	17172	10214	3330	7341	1242	2362	16485	153	17016	41	12109	5106	12762	12141	9944	8170	17136
7835	18705	15099	1535	14878	11296	3556	2609	16596	14703	4667	5724	14324	19532	11915	9861	17968	9728	12145	11824
19021	6430	6469	15890	19234	16311	19610	2910	8103	12831	3976	7602	9257	5302	466	18416	2631	15171	11162	12522
15703	19214	2093	13835	14666	9631	11800	1884	17144	14224	3203	4912	14701	5121	5057	1196	8359	2659	18166	10259
3172	4844	14446	17869	2234	9344	6404	13502	16391	5445	980	11697	11741	5900	14417	1683	1430	18697	240	8414
12532	19974	6575	11435	2835	14604	7123	6811	2962	1649	1310	2867	18136	15001	9092	13320	14124	19934	1371	10900
6250	7827	11515	14628	2367	5267	10857	10582	930	11988	16483	15911	12158	16439	3546	4267	5055	7334	17250	7125
5587	12967	17997	12373	153	15141	19562	17866	7537	12938	13642	12136	11079	14387	10065	8457	5736	10673	126	6704
10658	18212	3215	221	3720	13197	9976	14932	240	11680	1826	9651	11873	12648	14090	7542	15058	3672	14545	19332
18169	7466	8763	18254	4417	18211	16584	19200	11786	7066	8832	14344	12864	4667	7681	13461	13881	10196	7169	1325
14581	9626	13043	19302	10504	13799	15936	8186	8577	14274	5710	16527	16088	146	9466	17250	51	1176	16463	18180
3940	17624	14818	5809	11054	10039	3610	13307	10949	5421	9489	12386	7931	11187	3241	15950	4508	14279	1824	2761
11556	6817	18042	3230	2746	1887	5519	14635	17682	9825	11467	8322	2278	3945	17228	16679	6810	2323	3972	7040
3792	743	6278	2106	8704	4682	7190	1964	2159	15403	15680	17488	11190	14851	15007	13886	6445	5034	6591	16709
15903	13749	1772	17534	10398	1521	11021	10389	9181	17720	3402	11520	3191	81	10978	14065	3274	18334	3229	9945
4220	14353	5664	1490	13191	17551	2360	11126	18814	15524	9088	2191	4473	19742	18092	16761	12007	17355	3297	9506
10506	8274	18917	2604	1767	18742	7876	15855	8141	9712	8788	4462	8820	14321	12953	6608	4513	6618	8638	7432
13992	6199	14877	13290	2473	12392	1386	12752	4590	4922	12593	13624	17577	1114	19077	8826	13717	15431	9116	17809
6423	4042	10988	14113	5947	17110	17320	10120	14968	17001	2304	1428	12858	5411	9566	16831	1943	12533	2220	9278
1017	3647	10775	6593	1131	15664	16447	16932	19859	1712	10343	19121	9800	16600	9893	7437	10167	16200	14136	15503
6548	12843	9192	1524	15205	2644	1308	16968	14992	10745	10274	18139	8784	10221	8020	1780	15379	12152	14670	6849
5773	5389	9734	14447	5660	4558	1649	12338	4261	13453	6689	2086	3344	8521	19415	17548	13797	7176	7666	12528
15043	9945	17114	18338	15558	13627	18373	14833	17172	1890	19159	15143	12903	14641	9616	19116	14553	5260	7030	8997
3368	2897	1581	117	19247	8605	4491	14934	16014	86	7124	17874	2119	7618	12667	13976	1865	13348	17165	9740
6001	13507	16353	15051	1118	5760	13427	19085	9162	18328	17137	16308	5438	10836	9639	272	3841	4033	17267	1772
10645	5885	4965	4483	6115	16453	8443	8033	6059	15559	15899	2688	6589	18658	13830	487	3868	19056	3084	2542
5031	8505	13148	12081	15179	13900	12838	13645	11814	6883	16509	15776	12431	17179	9817	15169	379	19524	17788	4064
11893	14016	3151	19130	17997	13081	2921	2415	7252	3747	11679	2726	17925	13126	6512	12364	9738	2479	8906	14579
8968	3108	1615	16457	6681	12819	7050	12322	19355	8359	17271	1748	8546	9886	15611	13092	6079	10619	4259	19004
7945	15546	2557	14941	9498	7800	16485	5172	2755	18534	2978	13273	14250	9449	11146	13281	4825	9607	11666	1428
18709	13677	7677	11957	19412	6761	15327	14102	16718	18764	15770	11000	8975	17815	859	7218	1649	9694	792	930
3545	6949	11871	2214	13559	15252	16264	9570	6519	2808	2136	12507	9925	949	19273	11822	2955	778	6807	17521
72	10714	4763	16369	10444	3645	8483	19193	6118	1285	8048	17216	11297	13415	13237	14019	17375	12848	8877	7413
6826	1864	11503	5284	13862	19416	6917	8304	8245	14627	17821	15978	1605	12974	11354	1313	2097	18755	806	12647
9591	13307	19507	16018	17823	1998	13106	11766	6558	12771	6315	12857	13711	14296	15277	14248	5380	615	8988	14217
12039	16222	17383	9529	2290	3121	2511	536	4978	607	4691	2841	18301	17360	15699	1505	4586	12871	3195	15185
9216	12145	6055	16367	168	4447	2905	3186	1068	10065	17466	3809	2604	6851	17204	16577	12273	18964	4428	19561
14156	15463	7346	8772	10815	12278	18411	17766	6062	4246	14964	18862	2088	5504	3295	11066	493	7595	19025	1197
14585	2829	10443	14513	14881	15968	9229	8071	7852	7928	8120	10442	15786	7675	11154	11603	7849	2724	13713	17439
14386	9285	15516	10646	12208	6281	1013	5783	6337	14229	18471	1664	10685	6811	13096	15426	9446	18922	4910	16298
19136	11847	7139	15723	18202	8759	10313	3927	1202	11444	13507	4136	10805	18123	6644	16028	9287	9976	8414	10293
8487	17319	2344	1110	3092	14763	19981	3160	9427	7611	3505	16631	19306	15868	2828	8943	8899	1533	17085	16964
5652	2213	580	1301	12947	3271	11776	17186	10845	3650	4082	4365	7653	1785	6880	13171	5691	11925	14487	19381
5374	8876	392	12879	9473	13735	6055	7367	5409	19161	2898	6787	10926	13688	75	9426	1035	15324	19900	4353
11496	13641	879	7322	8440	11387	19152	5840	2512	10280	10316	7233	14458	13725	6569	2101	737	2984	14862	1132
14966	7752	7631	14521	6931	7145	18484	4248	16053	4692	10417	13941	11758	7600	13936	8935	10677	2472	12282	1898
14123	8468	5352	7678	102	19252	18439	7036	19970	1123	1632	14831	14554	5743	18902	4933	5637	11041	19375	2932
5218	16856	440	4211	733	2294	3890	15727	13491	17403	14789	12714	14478	4779	11301	4580	19432	12470	606	1623
2922	11382	1694	8015	8362	15653	8497	449	6999	10137	11714	18081	3621	141	11956	6344	7095	17818	11553	14916
10477	12894	5983	5364	4910	19307	18972	988	3974	19707	8595	5724	4749	18297	18772	648	19081	17315	14821	6854
6700	15485	12221	15331	13426	2584	7105	18045	8673	6317	19710	1053	8947	13069	18600	12912	19573	9249	11253	13216
14112	1418	6609	11873	18641	17035	16346	918	11019	14811	7311	9835	18777	16866	16610	8706	13017	15070	17658	5894
8420	359	13745	338	16109	12199	12216	14019	10375	19172	3164	6300	14953	13384	2146	13574	13121	2724	3107	16034
538	16906	5710	13154	1595	1422	12660	460	15573	14237	11734	2171	19541	3849	780	7795	19756	9883	7921	14451
5311	11281	16233	15746	1968	478	9231	18715	13318	17790	7293	10109	7623	3578	12204	14787	6001	2544	18959	7688
8942	5689	17590	8261	19944	1971	19434	10364	5877	9329	6776	1477	11615	16320	2223	2167	12328	12212	19813	13946
13484	10126	15085	4128	6118	3296	17557	6525	7808	6813	427	18164	6438	5472	13737	539	10344	14490	11823	8162
10181	9792	1663	14942	10147	5445	14140	16368	354	4914	4878	1781	18680	5882	11426	10993	15022	6260	13140	8527
10599	2442	3621	10766	12270	17098	1553	16679	11264	12745	19213	15651	14729	11201	3492	10798	8573	6414	2684	16395
7683	1552	18470	2646	19323	19634	8542	6418	19481	12718	3804	6840	9445	16482	3167	5026	3060	15677	2222	8591
19161	15868	3612	14577	18098	13287	549	14212	17633	11624	2834	2686	14858	17108	16054	16848	19554	13340	12983	2855
7771	3385	17241	18320	10830	18974	15319	13696	4355	3560	6310	19560	4132	2580	19581	1525	16704	7841	18329	2168
16134	7399	3668	17602	2125	16162	3026	13731	10885	18863	13466	17324	10054	15969	6305	12165	5875	9503	9313	15751
60	11306	13890	16768	3687	2917	11059	15182	15394	16565	9045	14230	4602	10794	1254	10511	13284	2519	11938	6919
15462	2474	8355	10231	88	15829	11031	8015	10031	5132	4709	3743	2198	14120	7690	186	10041	13208	13498	158
10988	15956	10893	13182	10155	3492	8040	5562	4301	17510	5260	13790	7283	1342	4391	939	9439	2935	1266	5113
8168	9712	2272	12417	4550	6934	144	16406	12410	1146	7535	16142	19472	16741	3807	4277	5797	16434	10819	8548
352	12484	7641	18318	12114	7275	14469	15112	9191	13457	12486	8875	15204	4526	3933	1838	459	13896	11970	11904
14468	6757	16905	5696	1849	14741	16705	8758	10383	18214	19400	5588	17400	7698	4295	7363	4751	16789	3211	12470
5118	11486	730	2994	14152	2825	5521	13559	18262	8400	4260	4107	11628	8417	7483	14222	10066	8947	19347	14618
5594	11010	9812	11078	6352	3558	19159	18547	15348	8867	11355	10892	11768	13296	11440	808	7639	550	750	14055
16612	1284	16738	19503	10126	15477	3387	8501	16659	6902	8741	9812	1002	15342	16599	13253	5419	14239	11225	13728
13341	19798	18522	13781	13902	3658	1614	2011	7890	17047	17100	1872	16557	9918	9731	17514	6735	17386	8935	5300
2203	14033	12107	17283	5310	4065	5177	5089	5604	1300	14308	4618	11461	19017	5168	17754	8303	3730	15448	3632
16598	12999	14845	14971	9499	7454	4506	3575	9978	18119	15163	9568	1370	19240	17997	5818	1927	3212	13305	3654
11049	10341	10544	10735	18748	15989	5735	11481	14651	19545	12151	15180	17903	6752	12731	5972	13924	9468	11164	16179
17549	17567	14345	13825	6035	7670	11816	4786	18833	15869	10881	19769	15158	13611	7113	11197	15931	5762	19737	42
