0	1	2	3	4	5	6	7	8	9	10	11	12
7412	9545	5909	2750	7464	3492	9750	5242	1016	9207	4667	10380	9220
7710	2532	10399	7711	7367	4935	164	5011	8815	6601	10014	763	5906
6556	6150	3173	9197	9557	2420	2648	9531	53	8724	213	2123	270
8303	1492	7709	5223	9719	4497	8859	9621	4974	1762	3587	1157	7936
7931	2334	2296	9626	8818	8885	8498	1371	9645	9920	2687	3241	7534
5644	10053	4399	9066	4228	6929	2280	9099	5463	4931	9514	6837	1380
1377	3173	10311	8685	6876	3392	8017	6803	4130	6574	1530	2122	2450
5960	3380	5241	3210	121	6367	35	4566	1296	4228	7295	7040	1592
10314	8797	5639	4953	6612	9659	5058	779	4511	6911	4144	2169	7294
6725	2438	1592	3630	6567	3510	3773	4082	236	183	3922	7377	2878
178	8696	1190	6854	6408	1364	1694	7327	2876	2838	9472	2228	3403
10240	2896	34	3669	237	3664	5928	8768	9604	8573	1662	7925	8502
7757	1422	8248	5659	2065	1920	3719	7469	7257	6612	7903	6694	2098
8989	6146	917	6611	2322	3299	8885	9261	7413	2284	831	10440	3740
9046	7421	5569	482	264	5258	7039	7263	1972	8799	7254	6861	8668
8263	2765	6912	7285	4643	1359	879	7173	1300	4875	2942	4988	1699
5682	3779	9274	6264	9773	8184	4413	8841	5925	5463	2227	2418	4057
10240	5459	4997	2005	4019	9552	5763	8129	6660	8216	3804	8939	7423
10380	7966	4618	10141	3517	7001	7120	7155	7794	6108	6391	4723	9104
862	1918	8258	5803	7563	3987	2526	6802	6010	10088	8600	7346	6270
8818	5912	5819	6630	1970	142	2777	1543	630	9124	4370	6869	3985
1591	4622	5524	7523	10023	92	4930	7451	10424	8502	1047	294	1464
7959	3705	1802	9011	710	3674	3657	2627	1322	387	6964	4475	5346
3447	7547	88	829	3437	5375	9222	1034	8346	2213	9093	8251	9031
3595	2552	2190	9557	3189	8643	8198	8122	2363	4218	5942	2327	6231
8419	4686	5504	1497	4713	6637	8199	9806	10394	7080	3471	1680	5942
8906	5944	5788	1520	6215	6963	2041	9499	9938	1557	7361	8729	6967
4261	6864	10155	10305	1434	4908	2214	1066	3462	9492	3116	2303	8025
4813	10204	7498	1266	9713	10306	4519	6619	9596	6709	4686	10073	1837
613	9347	5256	6916	6973	1996	4299	7910	7977	10394	2283	71	627
1369	10131	8675	1912	3384	7068	3049	6882	4417	2549	6289	6171	5823
3146	7418	6184	7320	3650	6763	7580	8384	1056	8832	8962	10299	660
3948	2184	3212	4934	777	1732	4069	6186	6510	9362	664	5995	3280
4745	8304	3965	9723	9495	10354	5197	4553	216	1428	9002	2532	1863
3959	9914	869	7346	2972	9899	8310	2309	7435	6843	7283	7108	7125
4202	1881	843	5288	2746	2237	3361	9018	1999	3170	8815	8279	6345
1684	8499	3754	1349	5592	7660	5032	1512	5573	3874	1818	6759	5283
5741	1620	10374	4989	3400	4273	8245	4059	9346	7852	2636	8626	1495
10462	3967	4833	6725	7695	1553	6230	5908	229	4403	2811	4072	4680
1484	9194	4601	8177	1918	8821	9577	7981	3524	4936	1647	5745	7866
469	70	6309	7730	3050	8441	5482	10385	5989	9813	981	5221	1760
2675	1845	7134	6199	638	1377	3679	5363	9487	7394	4873	10115	6225
3515	1577	5878	1022	8388	4219	8821	6191	9295	6886	4519	8592	4639
7155	8368	9703	466	8524	4441	4717	6513	3160	533	6235	3714	692
9014	8083	6580	8180	7383	8867	6225	2500	820	1785	8536	5917	4624
6651	7944	4457	1720	6218	696	1986	8089	586	2175	1768	9194	7341
6458	714	8088	571	7572	437	4832	9012	8558	2745	6416	2898	2470
3028	10246	1973	2397	1292	879	3659	5484	9729	6060	8738	4853	865
643	2590	8366	6368	6501	9176	10222	1471	1247	6787	5672	4263	8416
5166	7405	3247	5760	3506	3259	4815	2219	7570	577	4790	9167	1356
3568	4022	7232	7587	47	7612	1688	3536	3422	3139	3891	7578	4720
1653	6686	345	8835	3173	1877	2633	5311	8966	210	935	3331	442
6352	6463	887	8885	9365	31	8920	2894	763	2910	8880	2955	10021
4136	1402	2869	6877	407	6121	4241	8914	8204	7257	6488	1803	2133
9364	2899	4726	4327	4931	3927	3556	7467	7870	2363	5608	400	4544
6585	3846	3843	3271	9348	8889	3869	8154	7933	10369	9594	3808	7557
1627	6738	3879	3837	6199	3733	3143	9001	3341	9487	7522	4799	1150
541	8483	4186	5450	9113	9299	5804	5846	7547	9577	7772	10171	7045
533	7698	9104	1296	202	2221	747	2560	2687	4994	5128	3402	3968
1028	3573	9601	5540	8162	7335	6095	3232	5355	8142	9555	3185	8922
4096	7039	6513	10018	5791	8176	3456	7329	3181	60	9049	4058	8772
7590	6312	2611	3827	1399	5338	9084	6235	1969	7928	9943	3707	4899
2208	6856	4366	6315	4277	5389	9189	5933	5096	2524	6296	3416	10123
7199	8458	6309	3754	3475	6861	9419	8968	504	8825	6105	2876	1815
1681	856	7340	1161	2537	8092	9537	10049	1024	7329	6026	160	4829
7787	1919	2807	3444	9397	3995	5340	1857	472	1879	3340	5669	10408
8182	311	6859	9670	7288	1557	747	1300	3888	8564	9991	7577	112
245	6076	2459	238	3039	9330	7506	6866	8951	3309	6330	9804	4742
9086	5482	1802	8122	4753	10064	6597	10457	6337	9455	9035	2551	9915
6024	3529	6631	10002	7048	9976	9915	5213	6992	2900	5271	3040	2581
3312	8155	2535	4695	3382	3990	6264	4486	3514	10244	6795	6508	2176
8611	8141	1336	5743	6920	7654	1270	6163	5196	3615	8447	4209	3527
6077	6002	10177	8460	3439	1794	3492	7941	1580	7435	1193	9199	6689
7091	7360	10245	5409	6206	9684	3171	2849	7477	8733	4319	4532	6585
9416	5412	1601	3974	1910	3517	993	8830	304	9153	5391	5725	7812
10371	10114	7815	6987	6098	10154	3007	10271	41	10455	7479	5509	8910
3359	5868	5745	9706	8959	1554	9591	1418	6232	7914	904	10147	6506
927	3783	6957	10451	5001	6348	9331	1262	9371	9484	4994	5102	5807
3214	10302	3645	2993	7156	10216	2554	769	864	9422	7912	9677	6147
4418	9701	532	5108	6446	5291	1816	1621	2750	7758	8092	3821	6485
218	5030	5271	557	390	4668	3052	1867	2283	6397	4991	9268	100
4347	117	2745	5022	4926	982	1122	5339	5020	2778	6901	2535	6698
10095	4460	7719	3100	6057	2213	571	9178	353	6343	3387	9521	1029
52	1668	6035	10038	9356	3781	2292	6203	909	2323	2008	2230	3598
1796	1594	9371	2597	5807	996	3240	5729	4246	4059	9717	8525	5128
7413	2167	2512	6215	9143	1889	6328	67	6932	2882	7711	9969	4165
2612	5441	3264	805	2284	8651	5678	3250	6742	9518	7656	1034	3636
2542	5263	1047	8687	2756	5894	2837	7278	4111	488	5461	7333	4265
6217	1196	5332	7499	880	4161	1827	5559	392	10436	6093	2736	7319
6063	1402	9335	7589	6777	2364	9050	9920	2684	10112	7424	6581	7650
2908	1250	8110	6212	7153	7480	3231	3356	4161	8116	3556	892	200
2300	4617	8865	7419	9774	6856	5052	2942	3178	2021	1371	7010	5150
1331	7011	3625	1863	1619	9864	2740	9399	4835	1406	8278	3284	2102
3178	6684	804	1070	4720	6934	7954	2433	6294	5871	6297	536	5963
7744	5930	8833	4205	9481	2192	10253	4055	6197	5899	4085	6959	9088
5043	4534	4542	6623	1938	10094	8703	5907	4691	7519	2725	5681	5536
4064	7751	10394	9298	5460	2507	7380	6002	5238	10456	7717	2455	6612
2291	9252	266	5161	5221	5802	3854	1659	5621	9253	7161	1087	6240
10419	6840	3695	1122	4978	5833	3393	4931	4129	9612	8101	9099	2129
10379	6973	1016	9708	3719	8768	6178	10174	1247	4217	3553	2259	342
2995	9803	703	9609	5625	117	4044	7635	7127	6797	4068	6682	5003
5749	10102	7535	2694	2849	1246	9309	7422	9960	8342	5530	1734	8492
2179	9157	8485	321	9141	6318	1539	8148	5035	1415	4307	5172	8119
5615	9160	4729	2382	9101	5356	6131	953	7750	7418	8082	8422	2857
3359	7803	7611	1270	7876	1142	7474	7991	6711	6573	5724	266	3150
4265	9193	838	2504	5459	7336	2583	6535	3905	7482	10324	5435	1547
10278	2285	1989	2795	7071	1086	2525	77	10161	6132	220	2196	4363
1556	367	8153	4533	8892	5244	2111	3471	3792	211	2642	3214	5711
4506	8492	7056	4187	10413	2707	1967	8538	718	1572	7170	9133	5462
9075	3085	2	2558	7615	797	2336	2304	8494	1931	624	5403	942
3637	1666	1078	4158	5649	2523	8800	9107	4079	904	1915	10038	10409
7941	9014	5546	4250	6438	3673	7677	3599	2827	1453	3175	6740	7300
10280	2364	106	8497	7833	6103	8276	8839	9439	4356	5142	4605	6882
3912	10062	8730	9859	3210	4507	8245	5144	5755	327	1329	3590	9275
2483	4020	9915	1746	7545	928	10462	8035	6675	849	4497	4366	8348
447	8231	2349	139	7005	8061	8345	1116	8826	7623	6444	9607	7274
9113	7444	9665	2621	3831	2091	6652	4415	9066	1830	8519	5028	5669
9213	4512	6622	7450	3782	8345	5125	6889	4267	5449	7984	634	5757
6190	7498	8943	2573	7830	8068	8652	9876	4266	1732	1227	2569	898
3022	2957	3290	308	3574	5596	7240	7497	2164	5429	1483	2305	4201
2176	8447	2466	3546	1350	6022	7305	4460	6963	7411	2215	2508	6117
2528	4522	7299	1450	7126	5516	8015	2041	907	9047	17	9853	4633
9713	1160	3401	3547	9617	5330	6258	3231	2847	6277	772	8323	9115
10351	142	8643	2385	6166	8422	5567	5986	8073	474	4109	2426	5385
7811	8121	2094	7883	8483	3025	5423	10422	7743	7496	7765	3122	8897
3161	6702	4769	8210	8261	9214	2563	1586	2236	2073	6320	7399	2344
1998	1660	9297	6586	9996	740	6130	7635	2429	7063	1706	8852	7583
6007	1466	6604	4504	5177	5346	2736	4874	8552	6572	9240	1805	4371
4507	7397	8494	4162	5239	4569	10061	9565	3264	2559	2520	1802	2997
1941	7572	1291	8360	6202	4207	7018	3128	1557	3223	2171	165	4914
6608	5542	5071	9164	1347	4094	346	8795	3856	2257	6107	8182	10445
5410	5173	778	8535	10366	807	8240	8012	5073	7914	8781	1437	8600
2634	2660	3263	4569	4482	2661	2456	8334	4052	641	6387	4701	10002
1038	2258	9635	2080	399	3907	8223	1506	8489	8266	6787	5333	2770
4926	2132	4973	8392	709	4765	2430	5421	6046	2270	1631	8207	2324
3592	4566	7584	3851	9804	10163	9564	3005	7505	7408	1960	9345	8581
7639	7093	8127	10362	4142	526	1720	3262	2657	171	2607	7733	140
1852	249	1357	806	668	8857	3300	9080	2854	1794	1378	5143	6088
3242	2319	7531	1110	4073	2888	4870	5943	873	9499	9975	9755	7272
9700	5597	7473	1673	688	3151	10167	5046	2997	6607	9834	7419	4287
4079	8422	5073	5086	8526	10378	925	560	8276	4002	705	1362	496
6831	7522	7166	1728	10284	2890	9426	7674	7862	7173	2322	3149	1062
129	8364	4429	1533	10012	7570	1473	1049	2297	10435	5069	2468	7246
2715	636	9147	8199	7387	791	4541	858	7899	742	8211	9851	6311
5051	1434	6816	8605	3690	2959	91	2730	6437	5626	3035	4711	6564
2084	9420	9437	8665	970	3925	6830	9715	7958	7762	3389	3524	2335
9138	492	7258	6180	688	6118	4313	6774	6833	2028	3344	9666	5484
9385	1915	5853	1738	968	1930	1795	4227	1193	4732	8644	8086	4173
4248	3673	7645	4567	2110	6940	2405	7423	1259	9143	5196	555	241
7442	722	5496	704	4194	7087	2882	8710	4713	3365	10380	4153	1881
9715	10017	8278	2183	1650	2254	9992	177	7901	1444	8483	538	7503
1714	6064	6021	3037	8753	6680	1922	465	9323	10019	8793	1846	7375
9512	2865	4018	834	7829	8212	7249	8690	5126	9597	5182	8003	4023
8579	6191	2948	4461	7723	369	1523	3161	9728	5164	3510	2065	1356
2743	6051	5654	2719	9151	7722	1672	5009	5456	4055	1616	2870	1299
1977	2180	5757	6199	4477	5330	4195	4518	6030	4368	6180	670	6538
8966	2326	8404	970	2806	6721	10442	7626	5004	6019	8462	3096	3231
23	5368	5316	1848	90	8457	1211	97	2772	6653	9714	6411	5322
2359	4226	1119	228	5215	7841	4803	9186	4329	4165	4247	415	6964
10373	3917	393	2213	7229	941	10458	9731	8683	483	6165	4732	7163
7790	7582	4397	7904	9585	4001	6914	5766	4065	4282	3722	2250	254
9976	5861	4382	8930	5967	354	9195	161	5157	4981	5138	580	1169
5884	7443	990	5975	2554	9795	487	5309	174	1804	985	8022	9840
9323	255	9031	547	5030	3787	162	203	2685	5940	1325	3344	3969
509	6681	6057	9996	6925	7517	495	8380	6401	4132	4098	9134	1333
1445	7863	3857	8179	5604	3733	9218	7470	2653	5265	6641	4991	6479
2950	8983	3623	5818	7931	8981	2006	9262	3462	4480	7681	1695	6802
6433	9379	8931	2659	9935	2229	596	8547	5814	6978	7458	1794	8882
2067	3162	2484	1763	46	8625	9550	3027	1304	9121	5059	1116	5459
9959	2980	2879	9470	5952	3703	6132	156	2615	4417	7659	3478	3581
6934	4736	6960	2094	5411	3997	6908	5320	10351	1503	4824	3588	9033
2106	6626	7977	5242	2303	1764	6476	1825	614	7196	984	7676	702
7171	7207	1414	1793	8910	7717	8709	1183	1886	3836	9151	1413	8533
3992	5043	3234	7005	5121	10251	7006	2452	10288	2358	6603	509	2849
101	10066	1401	2006	2157	1808	2212	7663	9006	1042	6725	4927	7337
8750	9546	1508	9514	8058	6871	10362	1676	1158	1139	1561	9705	7690
2602	8843	4136	4260	1641	953	9289	6893	2667	3386	1766	578	8293
6337	4735	7032	7453	912	10124	5745	8859	5042	10436	1468	1595	3493
691	7746	9606	6782	9447	9488	10453	2024	2661	748	9281	9013	8659
1710	445	5707	3100	1033	997	9429	2252	9331	9618	1431	3387	6860
2	7674	1642	5670	1706	10052	9972	5036	6301	9103	5610	7706	6155
4736	5758	7667	1937	6962	9363	8884	9871	6940	3909	3830	8058	5222
1062	9342	1241	6873	5045	3581	7146	5308	5020	1	775	6612	3534
4136	119	3140	2256	6203	7947	4597	8580	9478	5531	7310	3149	5564
243	4241	5513	3493	512	1509	3578	3946	4570	7137	10313	5565	9143
4083	6148	9779	4611	7013	8178	5131	6362	4830	3074	634	185	17
3251	6458	10283	3144	10277	992	7850	733	2460	218	3688	1470	4347
5581	4761	1766	732	476	5861	7657	3304	6297	7070	2558	5775	10068
8520	10246	8942	6684	6273	6430	10420	9159	847	8246	3528	1052	8218
3234	6211	3221	5487	3425	6676	7985	3687	5924	5145	10183	9582	4346
3135	254	3808	1976	361	10100	2993	3650	10450	6177	9112	1743	9484
7525	8186	9872	10303	7623	6738	8175	730	585	6263	541	3824	5087
10126	7366	7049	2375	3005	7436	2199	3759	5748	3736	7686	613	3930
143	9282	3133	3916	3075	8383	2927	5284	7908	3805	6003	2631	8253
8597	8698	7628	3019	3856	399	6961	7552	1387	5115	9031	9626	9343
2674	497	93	9276	377	2537	6444	1918	1462	9294	6067	8166	3032
2296	4444	9221	7736	305	987	8245	2519	9102	5168	271	4189	545
2403	1901	8500	2955	2401	3176	1938	10174	3318	6881	6661	8	7140
5083	137	5048	8878	3969	2001	2942	5134	797	9341	3756	4032	5520
194	544	4195	2694	1054	8790	7171	8196	2379	2207	3296	8814	2782
170	2739	9718	7003	2767	8361	5074	950	5803	9000	3629	3405	332
4928	5758	8677	9874	820	8971	9703	9222	8413	662	2281	2080	620
9319	2001	7743	3176	6734	2199	8013	10276	696	2287	8900	6352	5130
10383	3527	3501	6569	3619	3682	458	5992	734	2711	5584	9449	5226
2419	6955	3410	3032	462	8135	9102	10297	894	2965	5736	1041	6390
6581	1005	7341	1054	4854	10208	5846	3913	7351	4126	1986	8755	5457
7872	8086	2299	1610	7995	6832	8585	2077	9424	4372	5692	2164	4926
10143	3323	2047	6515	6655	1944	2320	9420	8094	8473	2849	10121	7485
3332	6981	2797	6394	2132	3114	960	3854	4494	4099	7089	6782	7374
6098	4431	9435	1156	8569	9654	265	2073	8203	7887	8378	4888	5004
1672	6595	1941	9606	2126	10138	2050	3817	822	3879	4481	6036	4952
1866	7943	5444	4856	9552	8852	6757	3428	8509	7420	5768	2698	7474
9425	7420	7186	3361	3192	9540	7051	9902	5018	6047	5177	9868	5416
5419	4784	8788	7203	2005	8905	7535	5574	1370	3884	9900	8961	9739
4736	1284	7950	3820	247	5128	8283	1628	9548	1694	8244	7033	6153
10216	9467	3819	9078	3576	3086	8208	7047	8157	5531	2878	5952	8722
9254	6952	7969	9970	6625	6337	8818	7909	3616	1520	5915	10134	2253
178	7640	2536	8781	915	746	654	738	9314	5789	3569	6295	8770
2088	466	8146	5401	10274	9458	4489	6623	9825	3058	468	5085	2532
5787	7741	9831	2817	949	8071	4508	1550	4364	1770	3064	6070	3750
2368	3736	1983	7987	6328	3945	6121	7963	3713	5590	10150	664	4356
4179	1809	344	5375	2455	7313	5523	3929	10350	243	4155	4262	10467
773	2824	5275	1903	9110	9364	8223	2381	5404	943	4882	359	5803
2073	9331	2078	8723	411	9602	6055	7284	5153	7375	3004	1538	4967
5588	1105	5329	6262	9544	4277	10434	2789	243	5874	9349	7798	1366
2773	6036	3209	149	6019	7404	2957	10306	3276	8602	10238	2889	6317
6393	4154	2252	348	8880	8117	6388	8100	1601	7386	4619	7818	8434
10445	2637	8396	2587	110	8850	1435	7196	5899	6351	632	2437	1207
7163	3596	1190	836	8873	4835	4270	6411	2544	10283	536	3480	10275
10393	9221	1096	1230	6776	5765	7213	143	7627	7236	9128	10069	10461
8234	8489	7414	6893	6843	396	920	3710	5292	8998	9117	8267	6718
7243	10232	4748	1707	2716	8005	7075	7631	5969	5143	5071	5735	3582
9831	2798	9588	10016	7315	182	5874	5219	1859	5708	2417	2119	5715
3217	4785	9990	7549	968	1849	9501	5125	6038	8271	7179	3695	5362
7402	7627	10062	9708	8136	7940	142	10166	3412	8609	479	3756	5365
1639	7941	2420	5612	4661	8822	9256	9	4182	5305	7790	5936	5984
2364	5565	8775	292	4742	4705	2306	9653	4493	3321	9606	7128	3990
10310	6154	2537	10186	7531	641	1599	9105	6163	7727	280	8464	2920
5243	3390	916	2373	7424	5983	258	5428	1529	2664	2773	1059	1978
6786	9268	7856	8450	935	8788	4405	1633	8623	9911	2143	1068	2524
9025	5287	6955	10170	4822	2905	5456	1582	3315	10349	1948	4761	18
8942	7597	2310	7714	3893	10112	3964	8330	926	5714	1000	2588	6638
2981	9426	5298	3960	1972	8093	2436	9062	289	9156	203	4855	3054
3909	5249	8662	5092	265	380	7904	4112	9830	4494	5345	7929	7469
3328	7407	2839	1463	2405	38	9478	1406	5118	10250	5266	9375	6725
5269	522	7960	1453	6892	2651	7142	7408	1978	1193	104	8692	2989
5763	9554	8498	1054	9662	465	5249	10333	9210	4980	3197	1243	2836
3486	2567	1618	4223	2053	598	6317	1387	8212	7680	7316	8106	2384
9698	6638	1504	4256	10193	567	10312	1933	10195	293	972	5207	7447
9332	501	1213	1789	7992	6384	5826	9874	7341	1435	8161	8956	8346
8674	7215	5	9655	674	844	7008	8242	2795	8591	7932	2704	9568
4287	1842	6864	240	687	2929	6038	2215	7039	6590	1014	1913	8215
5145	5957	5764	9455	5256	3948	820	9880	7893	7966	2238	5449	9731
4465	150	24	10024	1173	9429	7448	10103	1008	6578	4927	5847	2587
5800	6439	8336	4869	9417	1043	6682	6551	10225	9923	2170	2828	877
5081	3892	3627	6107	3568	4084	8351	4691	557	2594	1519	1183	7338
5602	4079	5243	3439	7196	2697	1251	2515	7886	9836	4001	7521	5152
7660	1139	8808	6246	7784	9657	9929	3802	5067	5250	4562	7532	8098
8583	1488	2350	10449	4615	1610	7008	1520	10115	9442	10236	8424	3243
916	6369	1182	2232	1730	9014	7270	9643	1862	1028	4865	2815	7235
7861	9722	496	4373	4865	8570	6537	779	135	4459	7003	6222	5993
8809	136	2288	1142	1869	8220	6165	9265	4544	3931	2486	5357	7621
8051	8312	3295	281	7914	6652	2712	2954	4555	3508	4175	1932	559
5640	203	2626	9003	9455	7053	6787	10264	7547	65	9610	4199	1541
4802	8878	5525	3509	611	6559	8557	6464	9632	9740	5170	9826	5781
7883	3524	4512	9332	1234	7768	7379	1770	9492	9117	1335	1417	1002
2359	9329	4070	6626	8129	6314	1324	1673	2378	6003	3263	5006	5826
5965	2056	4783	6833	6946	7439	3899	8153	9331	9196	91	637	10096
6964	2093	6623	8956	9280	2747	3238	8364	7470	6421	9083	6373	9203
6840	8779	9412	448	5558	2372	7200	8442	8725	7929	6423	9191	1169
3911	10059	7547	77	5075	3763	10305	3107	3491	5811	1600	1114	1484
1989	3929	8934	3133	4217	1921	6994	8074	3855	4869	5001	8201	1899
4148	2256	7284	6860	6950	4934	6241	5985	3434	9165	4183	6146	9766
8431	1891	3429	7528	6710	9553	8958	9086	6963	1317	3636	8248	3473
5959	9176	5905	8998	6338	6997	2003	4903	9739	447	9626	6576	1250
2916	1156	1546	4662	1559	9642	1721	1987	4123	1197	1722	7792	9282
8271	1088	56	4506	2769	5420	5505	4217	10094	5160	3137	2649	6061
10123	306	2075	4958	1061	7635	7563	3347	7165	2646	5140	7824	9448
1580	8133	9276	2081	3785	7409	4522	7999	2127	9354	3683	1802	8019
10141	7882	5082	6500	3116	7613	74	4862	983	3361	1058	6498	3485
4776	10338	8233	5836	6085	7767	936	8445	3809	5530	6285	8843	2661
6616	5776	9903	10347	8438	8633	4172	2736	2871	9202	1384	9427	8899
8546	5839	4466	1116	1411	2282	38	6080	2632	2163	6661	7751	7237
3238	6350	9892	9010	1681	10242	4450	4210	8176	2823	9815	6998	536
7778	2754	1335	7247	7252	1924	2294	9602	9932	8387	1684	1405	10045
10096	7021	5952	4010	2185	5447	9359	8709	7077	5709	5903	4041	1673
537	9811	4830	6810	10295	6452	659	2151	8140	10335	2655	1843	4621
1743	6378	7459	9042	10056	1884	2825	8405	5572	516	10006	6122	4355
5059	8226	1977	9297	5547	9941	3551	4843	5303	909	8184	783	7714
9447	6725	8304	1395	7843	4696	6534	2717	8969	350	8033	325	7972
3148	6371	4004	6269	2458	23	75	4848	9101	5176	9226	7832	4892
9958	754	6089	2807	7524	6391	4752	8796	7322	4524	6983	5981	6104
5035	6051	7272	7212	6812	6420	5510	7075	7707	6160	6251	9233	4497
3182	7055	1386	4124	8061	3932	1471	4952	10404	10375	5141	3890	2755
8009	4705	8665	7835	1392	9357	432	4669	4416	7601	8170	1754	7583
2990	6652	1656	7905	1025	9420	8763	10312	10143	4947	8441	9289	7507
2082	3290	1907	9809	2878	1698	1184	6209	5973	1847	5699	7889	6119
1520	3434	5450	2833	4875	3799	544	10042	4660	8161	6533	8413	1966
2390	4282	8627	3687	4905	2095	5306	5121	4359	9315	6144	624	3793
3557	4308	7525	5118	8937	732	4995	10034	4295	4909	8039	1083	6321
10286	3286	1359	9731	6277	8148	4962	3567	8417	7002	2103	2	6983
7200	274	6944	8358	10190	4378	6881	2796	9639	8484	2702	8936	8184
5925	8407	2906	3838	9755	6282	7105	1351	7726	9451	9145	1336	9970
2282	8680	2833	8611	3441	4291	3996	224	6842	9946	5842	4805	1883
2442	7523	5695	7243	87	679	7153	9165	7094	9471	6816	7797	4978
6169	8921	3360	3791	3837	5450	3534	8442	5491	1950	3281	2056	8636
2776	8658	9611	9916	9401	4286	9924	6377	7581	5673	6405	9052	2529
5010	2100	6379	2399	979	9345	2867	10285	649	8911	9733	251	4013
411	868	7841	7976	7039	9694	980	9758	3148	6287	812	5868	851
8316	4095	10253	4069	6196	3348	6909	1350	7876	2361	10053	5820	1967
532	2862	3341	309	9621	6172	7510	1300	2557	8760	4081	114	5301
6195	8856	3033	5582	5738	3050	8603	7371	4615	276	5506	6356	257
8225	7323	9981	2597	9621	3495	5639	10365	5491	8354	1469	7872	3796
1663	2814	5210	1269	7517	8289	366	802	7851	4924	1572	3404	4317
7255	4673	8058	6253	739	7646	3389	10310	6563	9790	5900	3908	6636
5915	5089	3090	1751	5273	5195	7032	723	7138	2907	1666	7647	475
5783	8401	1351	8945	4529	6528	7114	1539	7310	1944	6903	7109	2707
7228	3246	5088	3226	6190	5524	2257	7773	9563	2615	4930	10206	5020
