0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
13469	2233	6935	11595	8971	7334	8397	7278	2840	8666	7413	8930	8959	5977	6129	1455	11527	12011	8336	7577	2329
10839	531	5580	3681	3365	5861	5543	7110	2992	10679	1260	9454	6005	5103	3176	12713	11764	5913	9948	12681	10493
6985	6714	3958	7808	11573	1875	6917	252	9301	9405	3705	7381	5291	2352	814	1535	13539	9060	10626	1966	3736
9057	5398	2457	6295	10874	7297	6879	6031	12615	5728	1889	9865	5915	3309	5100	5700	11421	10184	8843	5499	3779
12178	5648	14304	772	3780	12433	10022	3550	11250	10767	5193	13250	8023	4269	10462	4426	179	14141	12131	7418	5178
14028	4655	1353	1380	9475	7423	8963	9451	9895	10650	6328	5059	4402	10467	12467	10779	171	10040	10580	6540	11118
991	13838	5333	3197	3835	2542	11416	12877	7359	4363	5971	19	1016	10797	11451	13136	8683	8039	2720	9137	1743
12613	8670	12785	6257	10240	5201	12811	556	2344	3961	6846	7294	13396	11775	13572	10107	9518	6839	2143	7464	10815
4856	4978	1289	5618	1731	6892	7139	1014	6413	1395	4080	9522	9806	2499	7711	14207	1314	13543	9765	6791	7485
271	12836	2148	9902	8755	3283	13121	12022	14222	10208	1396	5773	3427	5253	1292	6835	12211	681	6394	4636	10966
181	8182	9247	9826	7539	9089	722	12275	9486	1932	7870	2187	5465	400	6665	11459	4782	1582	5098	6908	561
1620	11776	9086	4156	10629	10251	2524	545	2355	4571	6495	10320	8346	13178	50	8238	12056	9605	4725	2727	5059
3249	1182	13159	11323	4285	9263	1460	4512	2283	7498	4885	8463	6684	12818	1025	4673	8065	11021	587	13516	6811
277	416	12937	11479	13435	13304	4070	11500	4682	4089	3476	5974	11375	2218	1727	8955	2223	11606	3510	2036	7510
2156	4127	1092	5093	6866	11499	10646	8420	14304	5311	7698	13177	5759	3374	10736	51	5460	526	4842	14303	11216
7369	2333	5510	8446	813	3740	2200	5076	13795	13775	5550	6022	12208	5591	8924	11252	12926	5607	4781	6871	12864
11009	7280	2607	12163	7743	5067	10598	899	13990	8292	4462	14148	4705	11521	6600	9678	13496	7907	11111	3419	13693
7578	13210	14330	3137	5759	5083	12670	9724	10623	1885	8037	6606	2217	4287	3039	11	9959	13888	713	9965	11005
13004	5290	6231	134	12833	1972	12103	498	7291	4584	12126	10455	5076	1255	5430	12853	3387	10576	13458	4298	1814
13576	6665	426	4117	353	9106	6027	4121	501	12035	9074	4847	4479	3974	5925	5424	12492	4740	13401	6124	8520
11242	14197	11973	11755	1517	14002	6177	3634	5879	8644	6122	1542	13790	3014	6485	1929	1832	3286	7615	7846	6118
41	11639	7428	10993	8433	13529	10827	10854	13551	7448	3959	2634	10871	7158	1266	12211	12196	11137	5328	4616	8917
10257	11587	9625	8898	5997	1019	3048	7835	1939	3023	9100	2482	3285	8518	13148	13674	9717	11819	12001	10827	5349
2680	3633	6842	7339	6886	6985	875	11494	9418	13474	8934	44	900	11569	6762	3127	9379	1781	12261	8456	8184
6169	5045	13066	10646	791	14283	9273	8637	8938	814	10941	11236	8137	13995	5081	9405	5451	13701	3247	6505	13635
14008	3242	7562	3810	7734	3237	7341	10111	544	3176	8066	6544	5263	7685	1391	1097	300	3221	9282	9225	4566
4675	8466	1005	9036	6033	5578	7308	9938	10969	14239	8666	11594	14271	4329	1070	8831	8741	9777	12698	392	9628
13493	14045	10385	6030	11317	2824	3325	11583	6912	5091	10897	6432	13746	9989	11834	5296	963	10999	6782	1798	344
941	11424	10261	72	8988	12155	6171	11229	2545	13445	7045	1655	1785	13703	3544	6492	4841	3937	3776	13224	12115
240	11763	5130	11909	1425	10321	5696	493	12100	1701	2070	10971	5849	13392	14219	4652	12322	1638	7007	11580	6428
10794	1947	7662	4832	14022	5410	4429	5490	2325	13684	6468	10639	12069	4695	6832	4564	5563	4547	424	6213	6969
1343	3729	12085	7626	8723	6336	10540	5829	1873	10126	1930	1494	4911	10276	1059	6387	10705	4078	7858	6193	5678
8403	2988	4320	10235	8240	5326	13329	10716	11931	9576	7575	2370	9911	10410	2250	4483	6254	9773	426	4682	5833
14168	6355	2883	4787	130	12433	5483	4096	6980	6489	1614	13736	4051	9951	6209	3516	14201	4561	13067	12817	5720
8539	10817	8604	14329	10470	7136	8667	11893	856	6020	13467	3533	1886	10497	2142	1278	4301	1371	939	8002	12720
8620	7600	9524	2975	2872	9167	8849	13921	8469	3893	12136	1749	3925	6955	1960	2847	10998	5573	9461	3861	9304
10453	1185	11668	2733	14091	12863	7532	11567	13786	5779	14324	9678	11882	393	13169	10471	8700	1120	291	7010	14291
6936	568	2273	5088	7674	13365	2803	3813	684	12444	13339	13468	7757	2166	11711	14013	6539	10310	963	9629	6919
13761	1226	1667	3771	639	5717	6154	13899	11074	9029	2530	9572	1614	12882	10528	9518	928	690	959	6306	4743
1744	11707	2390	2076	12416	7455	12431	5985	930	12420	10059	8139	10744	9869	9405	4208	6077	9525	10763	7228	5792
9750	13472	5631	14266	5817	8322	8214	6470	4593	10366	10846	14273	2818	1100	4058	11696	3007	13983	1815	8432	8401
10469	535	6801	4832	8113	13833	779	11961	3188	12750	10279	1436	2766	1748	3901	9289	4037	3564	8989	11090	14211
11516	2391	3189	9998	4917	2628	581	11521	1312	13430	5888	12878	11602	9425	9315	14005	3264	6405	811	6175	4450
5059	2314	14013	1028	12135	11792	4837	7566	9327	740	10537	6425	11421	12221	6903	5497	6470	153	4914	5965	7754
12686	9309	7673	3846	996	8472	4097	1133	7845	2215	11435	11328	10061	3932	9438	8457	10673	5162	11294	5837	14201
10167	4896	10238	5284	6629	4300	4878	7882	1239	12686	5158	10448	7026	8699	2874	71	4893	12539	589	10881	11654
6925	5611	10388	10535	13968	11286	7086	10253	1553	1732	1876	3455	1249	11830	2317	10236	9013	6441	755	8918	8541
14122	9832	7493	11065	8833	9888	3142	2149	6571	826	6782	10640	13441	2550	2675	7525	8766	2766	9914	2270	5231
13747	13907	8487	6245	6055	2168	12932	7899	11759	4675	11513	9540	13047	9239	12636	12610	13128	12020	12324	12017	11925
1738	4135	855	9872	121	11042	8748	8650	2421	3639	6497	10098	10620	7958	14064	8572	5724	2049	13240	4227	638
13433	2479	8091	838	5413	4002	6557	4745	5976	4793	10041	11500	802	6860	1759	206	11987	3412	1551	9360	4213
14	2549	2846	157	10498	4567	1410	3977	6853	7685	12608	11957	7380	8983	3132	7776	7445	10471	1633	2126	751
10511	5098	3871	2703	7263	8141	768	11851	8280	14188	2439	4465	10684	2234	6421	5457	11437	2332	5250	4124	981
3187	1703	7213	10225	8109	8505	10680	2813	10161	8794	3813	6902	12109	1254	3845	12450	539	10535	5602	456	6274
3814	8253	12738	1891	3650	12740	10604	6656	1497	6127	4457	10483	13922	14270	8631	897	9693	2742	8308	8905	4788
702	567	7287	6493	8685	7066	11139	3392	6049	13275	5915	10519	12956	4230	2097	6858	3242	2271	10042	7317	11268
11442	11617	9707	4463	10263	7793	8482	13134	4290	9115	5303	9738	9278	2170	788	3241	577	12331	6432	8414	13163
12313	3940	5113	11464	1443	7868	8837	7003	1058	12678	3168	9465	9073	9239	14178	4898	340	12129	1224	4165	14348
3109	12126	13027	10847	1711	10870	12357	1014	3047	8780	1971	13741	1409	9809	3079	9509	9072	3996	10998	11502	2743
3207	2352	7105	4617	5967	5711	392	1256	4276	479	8064	2715	4579	6386	5055	9272	1295	790	7849	5925	882
10986	12466	4318	9719	1624	13208	5662	9467	11723	12335	12712	1910	4597	971	10231	5014	5799	4056	13341	5182	50
2646	4317	7206	697	3402	6494	5297	277	8213	6108	11612	8883	9838	12891	3770	4800	6239	11640	14140	543	3886
7929	2160	10731	2112	13709	8957	1912	5893	3625	11023	12739	7827	6671	101	514	2794	6779	11768	13104	11636	10804
7162	506	7453	6603	3714	8588	3596	5330	12073	4680	7638	2149	11249	8020	14231	9089	13206	8375	10910	11706	2099
13950	3368	8401	2643	14233	2802	14029	3991	4006	10929	619	7326	4036	3842	13767	455	9356	12977	6029	4169	8148
1428	7945	9000	14203	8627	11169	14011	2272	6189	8135	11223	12274	9429	3916	5636	4204	11329	7417	12950	10028	1987
4501	7512	11571	5694	148	2336	8546	11268	7897	12995	8561	696	5257	169	7678	236	5564	13748	2028	4242	4341
8403	5806	13801	726	7964	13948	10967	9258	902	2485	12265	1788	7427	7073	4953	14087	13601	10899	13289	5479	3195
4316	2820	9355	8133	14340	12881	9025	9869	205	4904	12590	5505	14182	12193	13740	9490	10442	10923	5402	14017	12218
2870	13148	6145	2388	1105	6158	2596	7269	12675	250	13956	1492	3504	9248	5981	1882	5713	13533	2425	10965	4581
9364	7409	13574	10153	12872	8268	7436	7520	2186	7654	2129	4239	10069	12632	1937	4470	14309	11262	3396	13437	1115
9211	13650	246	9590	11452	4565	9975	2971	4833	5537	11219	6980	2518	13325	3808	12872	6312	5247	10242	13238	5442
13198	13360	5313	5613	9926	9784	6221	7916	9829	10673	12620	11817	3197	11707	6064	12432	12346	7941	8399	8263	3605
5994	7431	6401	12859	10807	2793	4736	13728	882	1899	6397	6492	11645	7028	7113	297	5429	3452	13973	8735	6694
7063	6491	7179	5311	9432	1578	10131	10471	13884	8186	6348	2793	10155	12039	8791	2144	9283	1397	11163	6279	12250
11550	7371	2554	12594	368	2162	5661	248	482	13969	3260	5454	9222	8825	3176	1709	9400	4922	482	287	10162
5009	5794	4557	9886	12218	6452	4056	12297	10475	176	10987	6185	4375	11586	902	8250	8966	11994	6200	9957	8618
7288	1058	8053	13014	4393	14267	14004	5908	7423	8675	14089	5469	8827	6994	3642	11687	6464	7029	12104	4522	5380
3213	7187	4115	13429	13727	4029	3059	10047	4375	5716	3288	8122	4682	13474	13888	4213	13682	14096	13891	12823	13049
439	11832	5547	1620	12123	6414	14278	4387	4442	12123	1260	7639	5020	12155	8600	9905	2804	8793	10737	14264	4922
1042	2048	2992	3261	10411	11243	6268	10059	8702	7269	6264	11887	9337	6907	10100	8206	1726	3800	12544	12941	1275
11486	1969	7226	5263	8055	5957	7726	4174	5876	488	8817	11933	4060	8524	9021	3191	7678	6946	6312	11845	7243
4339	11984	3665	1385	11063	2018	12793	4937	8977	5544	7752	3096	12195	8750	11633	11924	1851	3398	9363	300	6396
6619	11873	13722	8271	10683	14020	5710	9841	2349	1614	7771	7102	2044	7077	10160	5070	5588	1218	5889	4465	3749
9901	14357	7357	4780	7261	6165	552	5157	7852	472	11030	1337	10993	601	7290	9027	2485	8271	4926	10441	387
3556	642	12235	5036	2828	10900	3453	11615	12436	6508	3189	6037	3286	7290	9345	8608	6420	1623	4769	8332	1398
4867	13915	708	4824	5208	1150	2423	463	257	10233	14213	13264	13335	13342	4217	3376	7196	4555	12644	10259	9648
2886	13982	11682	12672	1135	9932	8134	6966	9882	14301	14032	2933	1019	4107	9276	12788	3269	3809	8468	2856	1234
2815	1096	13406	89	354	8584	1149	2110	703	12499	1094	11121	3205	2701	11889	6371	3085	9209	620	1690	10786
1336	2259	1628	11970	1353	8090	3392	4462	7909	7533	4915	2275	241	2386	4607	12683	9995	14239	2186	11649	12217
3919	2601	12771	7185	10592	11849	13890	1114	3787	11416	8171	10356	621	5796	7215	4130	2383	11261	11005	10923	4521
1025	7824	10999	10538	13660	13817	9185	3039	11553	10433	1641	8531	6493	6521	11157	4275	10820	12994	6654	6537	1171
6030	9442	9063	4574	10207	767	8848	9488	1386	9939	1949	12966	941	5405	4073	16	7934	3529	3709	7287	11858
2032	10039	4477	167	7660	9890	5638	5032	7927	7479	4196	11596	4715	7446	10210	1960	13274	6370	6357	2906	4489
14072	6503	7006	1279	9257	4717	6855	3792	4682	4494	6845	8819	3486	7709	12184	6212	1630	7214	12775	895	11656
13977	2131	5495	260	6635	10649	6031	2528	1583	6452	12059	1282	12802	12314	10042	937	8600	10724	4999	2720	2193
8027	12243	4371	6205	7708	3847	1184	3696	1610	2051	7051	7833	13040	7542	2386	6015	3485	1134	3409	13772	11705
11094	12662	10831	9659	3412	3459	767	781	3368	12715	3199	10439	5576	7605	10562	8641	1465	11201	4580	841	5002
3876	12744	9355	1541	4870	4653	10107	7285	2035	8520	13347	6396	11587	14104	6245	7583	12307	6553	66	12066	8559
11103	5679	3243	4787	9776	6931	7595	11960	14329	11470	8094	8776	11550	2426	6289	4514	7158	7632	12155	8300	14177
4016	7286	10819	8913	7288	11021	11779	5819	3046	6503	10033	11593	5795	5746	2688	603	1333	5965	6820	6762	12521
1454	11573	8069	6581	13394	6929	3761	13916	234	3410	13777	4260	14077	5089	6050	4822	3261	11772	9917	1594	12004
8723	2640	13768	11119	803	3279	625	6898	13406	2816	5943	7706	6923	4444	6122	5710	12098	9710	12041	5009	10880
5225	3116	14273	5339	7654	8061	832	958	12959	7296	5735	9884	3451	466	8741	8773	11367	7833	13056	13818	3584
3168	11807	7668	1471	6997	9995	14069	10728	10198	5682	7039	402	3927	4729	14240	5232	14105	8274	7345	9835	7508
3958	38	2946	11114	1370	2215	6223	10874	11506	458	8077	4040	7514	1843	187	5817	14169	11286	9621	3337	7196
2530	13228	6226	14133	4583	297	8497	13924	4958	7030	2976	8077	7368	9267	621	710	8983	11156	13318	13939	92
8107	3467	4970	2453	10055	10003	8357	4903	3936	6833	12454	5717	3629	1587	6921	8015	14367	1594	4795	10141	5656
3207	12641	1974	1054	8979	7718	12310	2034	9761	7772	10182	8579	6306	10346	10181	10108	12068	12286	7504	82	13599
13403	13475	12092	6041	1552	8289	1311	3575	3868	9018	937	14229	3808	13257	8776	7732	4544	2598	4311	13937	11802
4774	9390	1403	7133	10034	13539	5593	6247	2288	1996	2099	6591	8911	4786	4443	7607	10938	7950	11062	13755	12039
11703	6653	1435	5396	4349	6761	4608	5990	13197	5500	14262	2709	13844	8683	2435	78	11991	13823	12686	3929	8101
13329	3681	9090	7662	1088	3798	4405	11078	2714	13465	12093	48	11952	13127	8228	11580	12145	13129	13693	10688	4927
162	8018	10760	6506	3491	2261	5480	9139	6116	11803	3690	9564	3856	5234	13694	7699	9114	4109	2749	10260	8206
9569	1245	10913	5877	9189	10301	4392	4896	8111	7327	8324	5618	2807	4176	13307	2432	8714	13837	6953	11435	244
7783	4104	3533	5005	12205	8648	11539	6873	3064	6032	8695	7531	1053	13874	11935	9441	9453	1535	3595	5472	6870
3801	7047	14266	9277	434	12077	566	12360	4139	4415	7408	506	3924	5878	4809	360	11387	4984	8392	13457	4757
7994	5407	4717	8520	11375	354	4682	3040	240	7355	13389	5808	6247	9504	3878	10627	10286	1352	12237	1560	8881
10292	3646	7720	13944	13771	10765	1064	5788	3265	1167	2481	3634	6146	5647	10609	528	2208	13070	14249	13132	5754
5010	11179	4754	6831	8824	11337	12978	6555	13037	14262	6323	13354	10974	1222	5624	14333	1199	13749	7958	4399	5951
3399	8053	1801	5890	7713	11260	12310	12301	6184	10961	9040	3793	5188	5712	8787	8130	9644	60	2790	11469	4160
5447	13505	5801	6622	458	10803	2069	977	8458	14240	5671	1268	10615	5456	6601	10059	12668	3315	6878	5925	9397
1198	1843	869	8884	4834	6955	12707	3524	695	4910	5103	10232	13822	10662	10382	11988	11330	6457	10852	9429	844
9266	5665	4780	12101	4839	1753	2794	7899	13771	7226	7935	7906	12972	10709	571	2192	748	12870	13431	4103	11278
9899	6212	10017	3807	13063	7924	10243	12879	3830	12029	14357	4181	4811	10377	10106	9280	9289	7216	723	10852	11722
5813	13957	3511	13132	9440	3879	9944	7392	8516	6092	5043	1969	4373	4795	87	10128	1531	602	9858	11189	1785
1997	4028	11881	6712	10694	6736	11446	13702	1499	6349	2755	554	7182	10106	8515	6514	6627	11741	8882	8465	9751
11829	13590	35	13458	11773	431	6371	13731	7361	6769	826	7920	11809	9294	11488	2728	7624	8975	5402	10741	4304
2749	3712	5316	9162	11211	3150	14249	3212	3573	3539	1499	1908	6220	9547	10134	12626	10097	4917	5528	8818	11508
4042	6088	203	6446	12684	6890	12096	12014	12912	11318	14040	3469	11539	3878	6684	4618	8180	5059	4455	14259	1276
7671	12365	6818	4057	5474	6589	11384	13386	9183	5559	9260	12528	2732	9019	7190	10247	10472	1459	11564	12781	607
5170	7371	10094	13397	12678	6496	3056	4735	2486	13302	12196	3623	9616	5313	7634	10912	2870	4049	12260	3961	2117
13156	7313	4767	126	10999	3891	352	13558	3022	540	3395	3302	2143	12525	8709	551	9530	7190	598	8538	11914
2763	7780	13157	666	10523	5757	12825	504	10536	9308	14229	14141	13958	12373	3020	4876	378	8795	4473	2840	1026
4413	4121	2755	13179	7415	12406	855	13952	966	11647	8993	9541	2977	12764	10450	13889	331	3979	12026	6471	11611
12223	5814	6908	10133	1441	9931	13901	2964	12262	795	7519	13283	8068	12668	9878	7558	11268	1643	11224	8864	4027
9160	12241	7853	12894	12478	2175	6439	6464	11127	8245	3776	5350	5204	6790	10155	13761	10736	8220	11537	7987	12086
2040	773	6201	5846	2966	3689	10110	4825	13427	3941	4908	1258	13715	2132	14218	2288	9975	8349	1915	2481	88
8514	2736	8298	8699	6409	2549	1143	2048	14077	5528	781	2033	4308	58	4294	13958	5180	9944	7146	833	3116
13304	9390	7979	5941	10886	7055	1087	204	11572	5516	7012	828	12639	8633	9245	11851	11694	8798	4025	4607	9669
4067	9806	7587	6023	1325	14157	5361	8064	4261	829	3131	1187	11103	7183	13768	4563	6313	13635	13569	7252	4311
10437	12383	776	11559	757	7855	1220	651	12389	13961	3423	11313	6205	4753	7914	1446	11295	12739	3225	12496	104
8800	9053	5104	7792	9769	9681	13315	709	5995	6708	8498	1587	8938	13594	9934	8917	1592	6615	12506	2139	2740
873	11558	2719	7243	5721	11422	651	7496	12970	2308	453	6009	10426	1453	1632	3276	7507	6338	3371	9660	13104
10410	13955	3245	6296	3242	7870	10734	1097	11632	11607	6211	14018	5370	7757	13341	3397	11816	12710	12147	2330	13060
2719	2601	5766	10381	14056	2461	1814	6033	3405	5788	7296	8471	13061	11499	3871	8137	12974	8327	9686	2332	6097
5355	8480	8989	13343	13579	9546	4005	8519	8692	9584	13385	8978	9975	6765	3143	8168	4444	8213	626	14322	7910
4062	7708	13532	11190	2568	12174	208	7522	515	8045	8076	10461	13341	7816	12942	3540	1032	8331	13385	10937	2284
13457	875	4225	6757	7639	7518	9820	1064	11497	13839	10171	7561	2652	8631	8810	13124	2588	3293	3238	8385	13493
125	4669	2581	9306	652	9536	1449	5462	8878	5574	12763	8326	11071	2255	11875	11337	8156	9733	9032	3358	9830
5275	8869	132	2950	6738	13501	2057	7900	13509	12474	9290	3401	4032	8567	8741	379	10612	1615	5889	11463	8061
4408	729	4744	2936	13519	228	12310	10534	12168	1721	13722	5527	1684	2124	10258	1315	7373	2974	6303	6183	4632
10038	11354	6306	5325	10059	3435	10701	11144	11786	3585	12876	14200	40	6598	1540	7027	9489	8863	13672	13389	11194
894	10855	2899	5680	5471	702	11857	11467	5013	8889	6799	12894	8126	5987	12855	602	1531	3547	3727	10021	4063
4339	1897	1049	3440	9328	12584	7884	6711	9622	5432	13408	9890	11108	1424	1683	6893	7700	4707	2216	541	2916
7245	2116	5924	13690	7267	7379	9838	8416	488	12569	11894	1189	8744	8499	2596	4882	7041	13500	2333	10453	500
14122	11756	853	3733	10583	819	9759	4633	12662	11730	535	5619	2245	13434	13568	7364	6360	11192	13017	5553	1617
14100	8773	6410	4593	12417	13545	5808	7964	9512	11072	4443	10285	1842	11598	10749	9606	5259	7784	1149	11003	12368
9329	10611	5899	5422	8552	12440	2668	9225	13988	9615	484	9369	13749	5849	11068	3960	6601	12944	13750	907	2461
11874	5724	6928	184	13812	4434	11819	4719	14101	6812	919	9799	9042	4122	4685	12855	13107	11403	1892	10109	9320
10533	10977	12152	12430	7993	2945	7687	1637	10099	1550	12406	11610	6779	362	6288	7960	7832	12839	6928	5631	9336
187	4052	10486	5346	7744	6357	11710	4907	11672	13349	9986	8891	725	9485	6172	5798	8560	9834	8715	4526	270
7614	5836	299	8566	5687	14307	850	14050	2190	13679	2021	3800	3642	12721	13188	11872	2592	10012	5036	11533	4692
4207	9026	13634	11250	5757	10167	5823	6369	8236	8932	8850	6545	1745	12297	519	10774	10812	11904	4537	4125	11647
9639	5993	2521	6797	7738	11249	8287	11373	5020	9148	13273	10621	11472	13286	4201	3017	8692	8867	11540	10506	3698
2661	130	7547	4703	1165	8944	13858	6706	7888	2087	6761	10811	2088	1169	5588	8008	4466	11963	14129	6089	8035
5490	466	9423	7215	1459	4323	1718	7449	12467	8695	13281	12161	9503	7757	9026	1807	6484	6545	13787	9073	2435
7756	6225	4879	11034	3061	5792	1528	9801	11394	726	14092	1122	7303	8128	842	2360	12818	4680	4344	8935	3623
3468	9874	5059	6718	5674	6269	6753	1122	8517	2608	563	445	13405	7142	1842	11656	2322	11394	11694	9587	14022
1660	7525	8966	12376	3579	10350	11118	13589	8473	1077	12361	5312	7734	12504	5409	14079	8247	10187	10094	4914	13790
13927	10721	2600	13428	6882	7934	734	6861	2834	14166	9298	13330	10692	3625	1493	7061	11076	5464	9196	1055	2360
10138	5403	9679	3678	8012	10471	6224	13400	13886	7010	2968	2796	10521	3559	5026	10736	6884	4630	8672	12172	2493
416	7037	10501	657	3280	2344	13711	8452	4221	11115	10709	7375	10130	7581	9965	6092	12904	13457	3940	11023	423
498	287	1147	10052	5972	2028	8015	4550	1211	11021	7773	9799	6953	5497	2091	2019	11995	3048	8286	3457	706
6806	11659	9593	6578	630	5087	12378	3070	13244	14049	14196	961	6631	3970	941	5989	7109	8996	4629	12886	9462
2591	13712	4434	1486	1885	1996	9760	1042	11519	12668	2816	8176	7245	932	2685	8758	8102	5502	4869	8003	8305
5509	9820	1891	1691	3574	8831	13166	163	2443	9522	11066	1113	1786	817	7141	4349	3673	7008	1249	7798	10898
12461	1218	4405	12555	13943	4432	8323	6449	1232	10243	4808	13467	9592	4307	7622	1735	5687	10800	7633	13386	11037
9737	4975	8675	3668	7108	9785	11161	9876	12410	3732	3230	1005	8986	8908	4189	203	6396	8074	11525	2019	227
13218	5681	14045	8269	13179	11512	4898	45	8096	7328	1157	11310	9614	13146	6284	14184	7438	759	3921	2700	13263
7017	12585	6046	3139	5139	5476	12976	6639	752	4949	2041	1787	11345	217	5095	4231	11005	8675	13383	6366	11841
6969	5680	2204	3001	7661	3939	13570	6307	1397	5717	12777	3779	7018	9070	7081	13474	11986	11857	13977	11373	12275
5289	4797	97	11885	1613	125	5900	13714	9562	6717	1143	1884	2697	10249	5685	11972	937	3042	3546	979	12985
9799	11984	10716	997	2461	11309	3848	6686	9679	2753	3970	9586	11722	9915	4894	6840	12872	7923	9773	6319	9196
7771	3625	6258	4262	2633	13689	9585	1327	6809	5172	9644	10308	9284	12053	8626	7102	14035	6024	12175	3462	12944
13142	29	4239	4793	8786	11891	2493	4936	8069	7229	10889	6124	3592	5020	4981	4096	11270	911	3482	9314	9189
5655	8906	4349	8543	9873	3016	2937	13123	11021	14164	1294	5913	3429	9146	6457	3175	12428	12347	9033	12753	9941
4438	12743	7692	2092	14200	11735	9075	10323	8509	12281	12243	9181	13079	5114	14359	875	11043	14260	8814	10377	1982
3409	3856	7219	11345	9490	14326	8221	2117	7171	253	13751	10105	6932	12875	593	11057	9118	10238	5231	7651	1142
57	8793	5929	9867	350	3183	1163	2009	8883	10625	2323	1642	3312	13291	10226	10590	9687	11047	1594	10803	5439
11044	6079	12313	5268	13342	3349	7104	4331	4624	5493	7510	13607	7122	11855	8007	2479	2914	9709	2736	2394	4936
4985	3521	1060	7562	696	9177	7098	4882	3113	5104	1787	5857	1445	5019	3547	662	2575	12492	8036	3600	5876
11844	4777	11669	11260	5003	11518	820	3123	2269	14363	6272	11589	13210	7741	12312	2635	8365	13934	5031	3206	6477
4073	11546	13845	6076	5266	7326	9643	2369	4554	13673	11775	5248	8539	5947	9515	3412	12897	777	11766	8993	2960
9937	2241	11779	5128	9682	2913	5087	852	5385	3035	1585	1811	534	10038	13068	2013	1977	2760	7616	4179	3840
14150	12607	4972	593	11454	2276	5369	12428	7164	13441	1009	9181	11165	8073	1773	1538	6974	9399	12624	11044	10808
13829	4540	1657	9283	8211	1714	2701	369	14224	13247	12133	12774	896	13502	9531	11546	13215	8634	11867	8112	800
13621	1427	12945	4801	9518	8501	2739	790	10174	5168	13593	40	10305	2426	12039	11918	13872	12659	3391	2540	3835
3747	2941	3385	7957	1059	11406	8066	5005	3693	7994	3787	9298	9264	7559	4638	9848	5798	2404	3909	11848	3430
10815	2970	11511	7145	2121	3300	8711	4232	12958	13921	10273	4796	4901	2263	1628	4716	5205	11135	8233	8142	1692
6740	11440	10788	2346	9531	12849	9285	2572	5867	8627	2648	200	6202	4807	1841	5844	13319	2201	7011	6510	5868
9194	14131	7956	9667	524	9334	13675	1773	13101	11453	13145	11048	5498	8119	2034	13918	2005	14330	12287	10509	10588
9623	13936	3139	7697	754	11595	2524	4616	3014	7112	5546	4396	11067	3073	5416	4297	10527	8463	5920	9588	722
4054	5118	10489	6022	4222	3147	11300	11163	10744	8090	11532	1116	14329	4929	10846	6961	3641	10098	2888	7899	6138
11309	14184	14051	6715	7876	6514	13642	3055	5349	10445	7757	364	1451	9432	4521	8422	1469	4555	11724	5679	2812
1668	3527	12287	4973	3531	249	2200	10957	1907	11967	503	14000	11100	3673	9121	1101	6780	9256	5673	2033	8650
