0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
5981	18828	10041	13797	6383	5444	3048	14989	2829	15215	3228	15448	11975	17151	10445	13581	11641	3394
4935	15832	14854	6998	1640	10068	137	16838	9131	5593	2132	17428	17224	4247	14945	1306	1942	7403
8137	12134	5683	16893	11252	15931	14638	15732	17305	10175	7745	5112	12944	9230	7287	17686	15121	16340
14381	5165	17822	12025	2409	15115	17619	8102	7009	2738	3051	3955	6781	15057	15992	3696	273	3168
13078	13919	5678	14536	10770	15844	15158	17543	16257	11445	705	3743	14279	18134	1699	8533	8518	13321
1925	16037	9490	12812	3971	18393	13393	17145	13221	6701	16911	8652	14829	17628	4997	16067	7399	12615
18777	9472	17058	3646	13352	10071	8847	1848	9192	7593	11887	3535	13983	9449	10442	10032	11288	16939
1036	11812	17627	8275	16455	15210	2413	4494	4099	6834	12127	5153	11875	312	8579	11498	6714	4440
15178	294	9562	17160	1443	8312	17517	2780	13765	16428	7847	1647	5032	6827	4593	101	10032	15523
3694	10693	11137	1661	10232	16169	4411	13289	5872	12297	18575	2741	223	1686	4540	11729	10853	11807
18656	14335	1593	9936	11478	10959	4971	945	5780	17491	1320	1950	6791	6765	10402	1408	4876	14146
8499	2951	14690	9452	7220	16639	1532	1554	809	8194	10863	18216	15190	17896	9068	15878	11162	11553
16857	16361	5895	15014	18570	12264	14968	14596	17001	3155	10414	8348	7440	1171	10404	13378	1253	175
11512	17701	12160	18133	14273	16720	13390	13470	14788	16914	5804	17167	649	3865	14289	11029	3218	15459
17413	8384	10017	9464	18182	16014	13276	940	4796	2794	11568	15571	4447	12548	6825	12593	4413	7627
11163	9673	16040	4388	8611	904	11492	15136	15112	10406	15929	13737	10124	5361	18851	3453	2878	9708
15145	11655	8020	8311	8490	2837	13555	15453	2226	16184	733	14952	10514	428	7458	4245	921	5768
2782	5319	4825	14893	12374	10090	10486	7226	14707	2621	14120	14953	4687	3955	17717	15869	5070	6053
118	948	17205	1888	13470	17928	18214	3063	18904	10778	15591	11559	14911	2524	6444	6005	3821	7036
17322	9245	14578	15513	4398	8615	2384	16568	15020	15398	14712	4505	15770	5894	5985	2484	18472	12564
13261	9177	16672	10970	10816	7713	18211	4122	14523	18395	4827	18918	13291	16280	16250	3687	7264	9272
6513	431	11072	14589	9824	1058	4015	6471	15318	2316	7376	4657	6339	6196	1149	343	18949	7354
755	16283	5335	3475	3855	7871	16655	14483	6699	9532	10876	446	8597	4863	5057	8810	12585	17885
4621	148	6922	5312	17870	2543	5916	15338	10280	8713	9619	14962	11469	4181	9537	1701	17731	18452
17279	16895	7530	14316	5274	1389	6508	18693	8956	15552	12719	3675	10773	6312	17063	11292	12940	8371
15321	3071	10375	14490	14033	15106	10223	15478	887	11773	1503	13226	1111	2148	12290	14452	7947	2363
14521	14355	8516	5899	8788	14059	8070	13992	1080	16635	14774	13392	4877	3400	5942	11669	2344	18657
9721	3776	3491	2636	1232	8575	12897	11121	12483	5792	9261	1840	4673	9202	14449	1453	15658	4651
15382	394	11566	4668	11781	928	8177	14894	860	18710	15939	10913	7838	4238	14934	2921	11504	2680
17076	1955	6052	5016	9853	2896	11375	1311	5553	17368	9047	4224	18125	12206	13007	2555	3546	13924
17244	8199	4706	14663	4442	12516	10016	14969	16524	18112	4333	17862	341	1210	8641	3406	13770	17818
11890	16061	6065	496	10112	15272	14041	7237	4134	12279	14523	16189	18845	6583	15295	6151	2333	12944
14251	17642	7492	6429	3182	10901	9819	17295	10667	7893	497	17767	4851	11887	16076	5049	11724	1403
1777	3155	4500	1180	14898	7743	11455	6773	18899	15669	8031	17682	8194	11211	9293	13297	12111	3495
15855	5795	1262	14436	15708	7002	12336	15068	3010	12941	3150	3095	2214	16554	10385	2789	7221	18655
13591	7459	16799	18780	11431	7372	8945	7297	15022	7836	5151	9718	1106	4655	5969	4843	1711	1744
6488	3650	13138	12630	11561	13394	590	3366	4308	10959	11233	17862	3120	17709	8312	18080	13449	9308
7916	11525	16156	13237	10558	3528	1634	6130	6650	9558	11636	14252	18503	10914	555	14726	2541	10662
9633	8476	6799	1702	3018	11661	5916	14452	16050	81	16592	11875	4694	17611	9914	11477	1978	2330
17067	3686	7726	4748	15204	6744	12721	500	10572	18441	11179	1328	13797	1975	5819	17129	10052	16485
4931	11404	3555	5721	11576	13475	4147	7578	2050	9488	15319	52	1573	4588	5737	503	8278	9175
14199	8663	15415	12726	11899	2713	12971	3765	2010	334	2975	6307	8269	1785	14378	9901	9728	9625
6905	16782	16260	943	7134	11402	7260	12723	17958	4276	1056	10892	13978	14906	1495	6831	16849	18323
18080	10119	15482	12034	17238	6874	6134	7786	18681	1231	1194	1882	11955	6619	14113	16113	2652	10250
9917	15593	16921	15816	1028	18287	6356	11570	11064	2623	3454	15570	16123	133	9962	2937	18660	7104
500	4938	4156	1005	8578	9997	2757	12026	1081	6883	2996	2203	6220	7993	10019	6353	2391	7117
7037	15884	17259	11492	8638	4713	8797	8935	5039	8941	13458	11	11077	3917	8863	16485	18865	16190
13689	12277	3500	15371	16386	11588	1607	13447	15615	5134	11571	6671	10357	2752	10573	7013	9581	13557
7581	8575	16294	16610	9825	899	7957	3915	2287	2521	2736	9366	4924	8314	12708	10829	4481	8759
16329	15267	9705	18784	11643	5371	10045	5071	11776	2981	12048	8241	8650	14303	11763	16355	17340	15226
10860	8655	18128	8753	9168	3228	1444	13920	1326	423	18316	12142	2324	7272	12437	8917	2039	13989
7709	15742	3041	7006	12117	16477	15571	10596	16661	5564	1931	8142	7150	4474	1075	4769	18106	6842
6656	9356	5116	15868	18802	6526	1513	2143	12121	191	9575	2159	17587	18518	14314	1056	18859	9688
7712	17201	13963	17092	3700	18823	3002	12976	9937	10991	15272	16958	4985	15775	17235	1535	6757	4459
17196	4008	10091	5519	16785	5612	14511	5736	5949	5351	7099	1695	5552	16621	2321	17603	9446	8662
12258	10148	11980	12269	3663	7798	12174	18460	13105	12633	8657	8496	6046	17113	18833	14326	3757	15480
8067	9230	875	4845	12498	11772	2220	11866	3986	3750	18615	16475	18111	764	18676	16146	3906	2136
6038	2350	17531	2450	7415	8582	17643	17506	12855	3628	7390	16860	9292	7466	14084	5440	3938	15913
9948	6572	7142	6456	15613	1619	15868	18930	12259	2470	15024	10817	4889	4825	7966	1746	11081	10505
11132	11447	8996	9184	156	3819	17001	17904	13455	9831	5630	6456	9086	18813	7544	6900	12249	9728
12066	12245	8730	9546	16625	9660	3008	18596	13730	7738	8843	16010	2651	5933	10000	2190	10644	12756
11368	8806	507	7475	13450	10158	3159	9200	11137	16556	15772	17383	17999	15762	18751	4572	14769	13239
9295	14375	15346	292	4820	6938	11019	17274	17779	5289	17072	14939	18621	14619	592	8277	18901	8879
9070	13493	8528	14538	17937	9726	15766	16014	7090	10620	12207	17289	6647	9828	11615	7087	10268	9495
6407	5051	14311	405	11992	8507	4787	9228	11565	17283	12264	1113	8269	2981	15931	15941	12992	7324
16322	5939	15106	15476	5378	2264	1948	8422	11988	10948	12621	11317	9744	17498	1914	17427	9998	14893
507	14655	5323	6343	16754	2942	17828	5945	293	2028	16186	8384	12671	15968	949	5592	128	12355
9570	7095	3674	12673	10579	61	7479	2762	11632	3894	5788	14078	272	6847	13093	14057	1877	8377
11479	3469	11103	12223	7971	1723	1678	8998	5211	375	17748	1424	6931	5389	8511	16760	300	6724
18517	15153	11522	17278	884	14462	6815	14726	773	10541	544	1517	15550	1049	447	5722	13026	16326
2280	433	4130	14567	218	15207	9896	15314	2322	15355	3922	3393	16821	15195	18823	1934	16013	3796
12990	6126	15194	2456	6725	13041	12604	9660	13197	16005	10776	7190	15412	6158	2278	17856	13980	4842
15326	16033	12982	8441	9788	15042	18908	17444	5807	8047	583	17084	6617	13617	7745	3044	9311	9320
6455	18940	6746	7588	7529	11051	13112	924	3123	10443	13326	8412	10429	11994	8556	7855	36	17246
12552	12273	11160	13964	3490	1397	12915	18767	8965	16466	7930	11628	17428	14318	8792	10324	14646	14680
18545	2083	16694	13878	16170	742	5852	1459	14131	1863	4812	8433	8928	2928	240	5815	12633	5094
2925	1282	5632	1930	11097	4996	7425	6225	1871	10342	5255	6195	9714	10538	4053	8507	16139	2787
15317	7289	7524	8405	17240	5963	15501	7807	2507	14307	7563	2948	8454	16906	13188	18944	14647	12518
15924	17283	10507	1349	13272	8252	11163	18330	9224	2548	10964	14636	5218	4358	8199	6898	14191	18675
5542	3141	5025	13772	14082	8379	4905	10701	15512	17121	2	9344	3102	3946	15715	632	5087	10734
15285	14627	2784	9377	12305	6820	4652	242	3960	5953	13576	13280	9016	1140	7473	4642	1600	14871
13559	4875	17204	14279	12945	12435	8780	3606	11757	14755	6585	17899	3130	5034	6008	14946	1696	11666
9359	43	6084	6451	2527	5245	15851	2070	7846	8283	3359	15455	870	607	8387	811	9511	7999
4286	8670	3430	15861	5926	12546	3330	5111	4486	5503	17884	13668	3022	2617	3438	16575	10726	8186
10126	9257	15240	11517	18514	18540	15164	1012	276	8073	14077	16901	7164	5946	7223	15058	6264	13668
12905	7367	9804	18606	5064	8960	4139	17155	6100	7670	18388	16048	12563	12376	12621	5146	9897	12600
9492	4834	5572	12235	13997	13998	8367	17523	4017	17358	12505	3828	16973	6663	10297	1293	3979	7249
148	8779	2117	11433	16370	1669	14650	1471	287	14228	15288	13517	11492	6228	11898	8290	6068	16879
1273	14411	17978	12265	8463	11032	4527	2797	18909	14527	11611	18344	10253	14264	9615	5103	8909	9241
5674	7583	14046	6632	1402	8904	16123	18253	15365	5877	9228	6510	8273	5404	7503	7549	2470	12070
3966	9520	10016	16770	3905	6653	4841	12999	11519	11419	14246	1765	5446	3210	7102	18252	10736	7798
5245	10184	4006	5398	11247	17309	4219	15558	6431	9662	11117	18643	7819	15127	12265	11897	6423	15429
160	11994	15571	6015	7226	6569	2619	6	12787	1238	4104	3998	13833	8744	15813	13764	3658	5902
16960	6590	3751	17128	5197	14070	1322	12576	7331	10500	6276	18786	4365	17816	5772	7048	7449	5807
4360	14993	4565	7644	17655	4103	7296	15731	14091	11089	16615	13350	13566	3722	2875	18959	6184	11200
7891	2902	15045	1992	6353	10212	4111	13882	17708	10853	5417	1099	15958	6320	5292	5239	782	3886
516	12902	15560	16895	710	11587	480	13299	4394	11996	14948	1542	16844	16920	8182	6685	18891	10320
8518	7970	4719	13898	901	2194	3732	17541	3036	13763	8266	10529	8594	8670	16843	18243	16702	13
452	1919	17479	8512	15853	17544	12965	11383	6488	14644	775	6804	14170	17026	11756	5995	1209	3325
6861	1312	82	1657	3516	17817	10013	7116	4120	11643	6370	17837	9035	4357	16239	15140	8941	11331
4835	3772	10555	877	178	15157	1981	17283	1120	9460	8316	13057	4309	16976	2713	583	2476	15949
5376	18489	12682	7629	17609	13784	5185	5045	11719	7797	6610	9190	15058	10395	2947	3258	1585	351
1878	18486	14956	12391	18490	8678	4883	2000	1142	11705	14712	3240	4541	7312	1902	4459	13101	6229
12786	5227	4280	18719	1829	3990	16290	7924	9214	7928	11915	12412	1363	14962	5857	2451	8642	13262
11220	8934	16820	18863	9016	405	16973	7413	14987	4653	88	10788	18451	4891	8377	2947	8912	13170
18582	3580	15380	12854	13037	8221	14867	2282	15880	3294	11728	7697	1005	9799	10893	16706	12713	8444
