0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1843	12024	2432	8676	2402	4497	8506	11288	9717	6559	6332	5689	1057	11851	9106	8120	3410	12082	4672	153	4327	12167
6237	1774	6332	8186	4782	6501	5713	504	1475	7760	12517	5247	13055	3220	12483	7286	990	3998	1188	10855	10909	5310
4788	4175	9281	6302	4865	946	6616	1937	2835	438	9636	12043	3235	10904	12437	6154	7034	2175	1786	9683	6424	9405
7540	10709	695	2471	4467	11210	4410	10440	10658	6842	3972	12840	7030	11638	7554	9396	6246	9798	10825	3682	12487	3112
3076	3762	10062	10384	7241	9311	552	12733	8494	8999	7920	6377	4210	7665	9724	1171	3481	10219	8202	675	3579	3603
6760	805	12885	5386	4856	7481	515	7401	5409	10690	10890	4578	792	8060	3405	8946	10376	9698	3402	7277	1640	5209
692	8490	10358	6094	2646	10925	439	3775	8619	10481	7410	2612	654	11131	12291	7415	10574	1395	5202	8553	11677	11154
12643	3880	8522	13349	424	3276	7709	4591	518	3311	2873	8429	1205	4045	5739	6774	7460	8294	10610	11579	3651	2156
1553	10759	10075	3589	298	10023	10330	9299	6023	3235	9712	2398	7245	10803	358	13171	1350	4837	12028	2199	9379	9146
4192	2118	6225	4953	10877	5915	9372	7702	12897	4740	7144	6834	2029	3764	9772	10482	9357	11911	5852	2084	2429	2437
5171	10696	13090	12569	13103	5465	904	4911	3010	9247	2230	8842	4199	6021	4925	13080	6886	10771	7173	4332	3526	9186
6427	12623	9548	9267	11727	7056	8676	3813	3539	675	8008	6565	1488	1772	1239	13182	2562	2864	10185	7393	2892	10182
5954	8924	12762	5669	12111	10390	3648	7060	12086	2682	2517	12376	886	7827	5088	9160	4925	2580	8083	1060	8382	5440
11594	5715	9318	5252	9883	2771	6921	2683	4010	12726	6518	5134	1476	12403	13200	6759	12408	7843	9577	5033	12316	8823
10781	3304	1587	9212	6463	13086	8166	8581	10049	859	3240	11598	10763	4011	1686	3405	6578	1521	2013	6690	925	12809
5367	8069	11518	2853	2009	6601	10700	11338	7473	7383	12634	4112	4982	8134	705	5656	5784	5155	13070	1632	354	3818
7242	9335	2838	8753	8822	9221	9222	6872	751	6089	10137	4166	11756	3821	9101	4794	6107	7466	11216	7485	7236	7250
1354	3001	11290	1660	1098	11792	6709	8153	12631	4958	4804	3147	1761	2843	9862	11219	8200	5635	13233	9923	5422	13050
902	10076	9261	7591	13161	8958	9950	12175	6249	11125	2568	3974	4444	4722	7307	310	10075	2253	5069	1338	5575	251
3795	9173	10319	6176	1741	8423	11647	11429	10340	6181	13278	247	5513	1621	3970	272	8931	11660	10439	12047	329	5010
11754	4555	5311	11658	11106	12848	454	4692	1458	1738	8876	8461	10374	2164	2986	12272	4830	4567	4650	8267	11474	4484
3359	8842	5727	11892	12047	7209	6564	7266	12520	1308	7242	12696	138	9916	7364	9357	2160	7795	10457	831	3640	12376
8238	8856	5511	5992	11281	1218	346	1077	9119	6127	2405	10752	3842	8958	12683	6605	10278	6529	3161	4379	4659	9642
8548	1124	5536	8331	1506	12480	1856	6320	7825	9528	7828	421	1913	2392	5186	5206	12907	1822	8559	12368	9777	10514
11678	3279	1081	11439	4853	2227	9444	11631	10308	681	233	12384	1599	8246	3442	9932	7585	3265	1967	10206	7428	4383
8812	12595	3698	474	13081	1657	6666	5707	8566	11199	5781	11029	1630	5973	9042	2497	7094	10321	11581	2085	743	11237
5540	3502	12068	2647	9548	12022	12324	8263	4466	3285	2204	1289	6875	5603	5499	3958	5486	3108	8649	12662	4604	1892
4728	4519	3627	12754	2713	1777	8527	11066	5454	779	6966	11010	2605	4005	6605	2809	9120	8021	7637	6962	917	1980
1179	3617	3894	7943	5377	146	2676	13100	6891	13056	6859	9398	6830	8600	849	11150	5933	5526	287	2520	5716	11638
8330	10075	12940	3642	11506	8822	12126	825	6181	4259	2682	10071	8748	9386	5473	1111	678	12018	5152	9643	5499	5011
11061	8762	8	8689	7025	3679	5705	2674	4937	11545	578	4322	516	12640	9722	4058	3840	12521	3244	13051	6328	11194
9982	2016	12753	6221	3646	3310	3905	9046	4511	2219	7485	7111	9952	7410	398	5416	2418	12379	1381	6854	7172	8374
12119	10296	12870	10260	1521	2645	1314	2665	11452	9166	8018	545	6201	5957	6230	5944	8225	5205	6885	3198	8033	3742
7493	7337	7507	2352	8761	7583	5032	8726	9286	11853	1658	8390	7987	1645	3427	13	331	9256	11915	12687	1590	12025
895	2855	4141	6665	11599	3752	11326	3776	11916	2673	4123	5204	6452	9431	10785	1894	6089	3558	2894	3675	3284	3797
2002	4716	13348	2451	716	8284	3253	6415	6950	4235	924	3924	2181	2569	679	10016	12129	13340	11188	10715	12438	12823
4164	4930	6109	8606	8312	6952	10987	7351	7196	9270	12607	8473	7597	11555	10733	2302	5207	6609	56	8260	3119	4467
2604	5159	9461	7596	4625	1697	11311	4269	10063	8221	7720	11757	2541	2146	1211	7934	8623	2569	46	8191	7014	8918
6292	12028	7183	11254	6886	8508	4239	12922	5110	10696	2584	300	5721	12707	3752	13060	8325	4262	9481	4575	3860	3044
2467	9527	9869	932	11844	9652	11202	4393	6495	1064	11123	11880	518	9914	8292	6761	6334	6478	2953	4484	7282	2317
10739	6164	4207	5992	2914	6155	9937	8644	3640	8370	9577	2674	11524	12340	6433	8173	8622	4485	8703	6725	6301	1571
3430	11350	9679	1209	770	397	10740	12847	8868	12933	12816	4380	11256	9461	11376	9575	11846	7696	12651	6321	2866	6125
4983	3086	79	3947	661	11684	6146	3591	4030	13114	13095	7996	8088	11087	3503	13070	10389	8356	11122	4520	9714	1808
6632	497	4694	1675	8092	601	12199	8391	4268	13088	6985	10603	202	1495	10788	5346	2571	13134	11589	4662	11816	12492
6111	12679	691	7508	2951	2635	3702	3606	12508	800	5799	1946	10083	12524	3165	11468	7149	3105	4520	5496	12702	10163
11966	1380	9498	6185	7226	7470	9236	80	7438	6917	747	290	10817	4474	7020	1935	77	1418	10764	9129	3428	100
8515	2118	6898	8013	5226	6858	1962	197	564	7750	12001	8424	4204	5478	3210	5423	5146	8269	7874	6911	4533	3991
6017	123	6493	40	8207	676	5974	5316	3002	5702	9606	10952	7304	7239	10569	6237	5094	9768	11347	10894	4400	3602
3855	11253	10465	8752	5941	10919	7071	9415	10474	13110	1623	8837	7328	3807	12317	6306	8132	97	4261	253	9313	1233
3103	784	8269	184	1526	13142	6309	10234	3288	12573	1399	9144	5838	3855	3313	3122	10294	3016	10699	5517	9944	1478
12336	12152	6367	9414	7822	4035	2933	2224	10610	10797	3728	3544	1722	2905	1755	7606	12883	3829	10638	12188	4364	12218
6457	12451	5786	2453	12935	4542	4741	1455	4211	11953	10840	2683	7563	12989	10469	10897	3541	5681	544	3489	13008	4915
2028	10456	7052	3724	3079	9893	6409	6319	9564	10747	700	6817	5186	5281	12633	4306	13278	13077	12382	10664	969	12389
9189	4478	13198	12780	8744	5332	8064	5793	6710	12923	11238	11349	437	8866	1402	4992	11011	12784	6526	13103	13211	2079
12835	4809	9389	7875	8220	4605	13306	1501	5851	7479	3295	433	7619	9841	13238	10170	10240	8551	1826	5279	4929	9336
6881	9720	2635	12121	10348	10339	3416	11403	12726	4798	6335	5185	10982	6871	9829	8997	9738	5087	12610	13068	6796	5455
1594	742	6706	2815	7988	12788	504	3322	8094	9479	8065	5630	11489	3002	628	10206	10179	11418	5408	932	11761	673
12527	12683	8367	312	12212	12120	7638	9831	5056	457	11072	7522	3954	503	9829	6673	4544	7699	515	6039	4486	5807
1398	5920	1242	5707	6701	598	9151	2684	5530	10445	7082	7105	12473	5098	6849	7475	8605	10067	12207	2872	2892	12715
2880	6287	2799	277	8139	2464	6703	207	8233	12562	4147	9463	3054	12668	2075	2802	8646	12195	10469	5088	9931	1973
3841	10738	5376	6190	5538	5891	1682	10714	6568	3315	7086	12578	5491	6590	3360	9526	1110	4549	11757	3059	11380	10421
475	10061	8843	9707	7179	10722	10432	8934	8596	2895	8562	11734	8847	5178	6012	6860	9073	7239	12299	9570	13055	10152
1232	10952	3840	9171	9714	777	13207	12377	508	6823	1313	6350	12149	10700	4604	7466	6428	12703	4899	2551	970	957
5191	4631	11848	7221	7715	9860	7836	3680	8458	12302	5657	12515	13085	2874	8689	9713	12396	13077	197	560	5648	8229
2097	8209	7159	74	6664	6266	5915	9739	10192	3492	1475	12844	4374	9274	2802	6510	2223	2035	2116	6166	1654	7003
5865	5086	11405	6168	11448	11675	10932	7364	8757	12504	12115	11828	11413	8085	5083	13179	6055	8259	1252	13018	12546	10826
4603	12102	3500	9940	11691	11275	11936	7624	5349	11645	238	12053	30	13175	13059	1029	9212	4907	11254	5850	4248	4599
10840	11988	5756	4843	1010	12958	12487	4107	301	3554	1605	3935	5144	6738	839	4171	9194	10934	12088	1082	5441	10210
10482	485	12611	10791	8179	2093	9188	11539	5312	6366	11167	5145	1535	7874	6648	1398	1537	10764	10751	195	649	6347
5294	4980	8023	7999	5802	8982	5970	10635	12568	5189	12837	1302	447	4737	5014	1644	13157	8987	3519	9468	5065	6407
9436	4833	12895	8447	7157	10742	2578	4857	1790	1633	11193	10149	7123	3871	3463	2888	6089	10085	2328	2560	632	223
3157	4868	13119	7139	9826	9852	8897	13033	3680	9505	3573	12697	4894	8943	1263	529	2529	12096	973	5398	12699	2461
3860	3990	12302	1755	9403	445	4341	1920	2160	6031	3015	10010	27	1747	1564	11476	5135	10808	5753	8331	6355	3879
629	4557	3839	12261	7120	1601	7132	2419	2348	7451	6489	10185	7719	3540	2618	1992	8434	9113	1874	7237	6121	292
10356	3292	2567	7444	2311	1786	8395	10830	4390	8216	8593	9172	13280	9752	2659	6262	8875	5386	2751	7159	5461	1486
4872	4649	11730	12627	8505	11905	6220	2384	3276	4650	11316	3150	6458	12658	11463	1810	11027	4323	9824	5229	8158	10822
5440	5224	4990	11287	12488	8551	2338	7735	11792	5608	10576	3079	1316	1185	7615	2731	8302	11139	604	3003	10221	374
4501	2227	2010	11032	7714	12385	63	1062	6885	10113	6959	931	1701	13230	2242	5466	102	11403	9982	1680	1158	7034
12271	4985	4956	7477	12609	7887	6044	8539	11388	10250	2552	10703	9641	4433	3608	8334	2966	5184	5623	7294	8685	311
11075	12362	9204	9755	10140	8328	1620	10983	7093	3735	10507	1783	3147	3341	12898	11547	8826	6812	229	6678	12789	8647
6949	7724	7813	3802	8989	10301	12272	8053	5994	12897	13150	6960	12879	1907	11209	944	10680	10168	5175	11843	12855	1819
6559	4136	5256	8895	3757	9985	5990	5346	6776	5357	5157	8560	5515	10565	12062	11052	4990	3015	8570	8419	9339	4104
8356	7486	12445	522	2490	7315	10266	1827	4663	263	1940	2559	3716	8367	4660	11959	3786	2601	6972	7004	4370	1785
11435	9505	4489	6844	6953	11214	7290	4945	12313	9136	6333	7102	4993	1293	4340	1405	3841	321	5891	7104	6281	7929
5766	6200	5530	5248	9840	10543	4551	5653	8103	4012	11409	6652	1841	7574	6904	9770	11490	4578	13339	7484	8817	6594
1221	7078	7423	2443	3507	1126	12571	3353	8718	7660	290	12109	11171	6893	719	7678	5377	7241	1470	10736	8363	2144
2565	5179	2811	7830	10588	6962	1337	2937	8735	8312	6970	12601	7368	11166	4533	1020	10886	7611	10049	9997	7437	1808
11291	6095	744	2744	6528	10922	12140	943	9215	2428	5773	1084	4852	8328	6211	11530	13203	495	882	13107	11788	8912
1736	3805	1568	9859	7984	12731	10286	4529	11226	4759	11612	5362	10914	7122	10608	746	9095	1802	9075	7865	4975	734
9073	9259	7346	2052	11973	882	5058	6701	5766	9686	3419	8068	11307	8085	9789	12972	8155	3636	13256	2231	7312	9887
1631	7245	8011	7131	1766	9868	8227	6719	6223	2172	5481	6986	290	12478	2412	5569	10855	5847	3392	11628	12670	1316
6115	12557	5229	8505	13056	3420	4333	7871	13228	3370	12694	11178	4957	5023	8510	6237	9867	1817	8354	11884	12399	8775
8843	6865	10223	82	3238	7149	1846	2464	824	3999	13280	6093	6950	2702	485	2113	13070	7189	1687	5026	1121	2717
12361	10478	9577	13195	10739	12733	11855	3331	8219	1177	5493	11643	12542	7223	6042	11739	7384	6676	685	6097	524	3220
1357	10085	2269	12762	5090	10360	313	11550	12327	12955	5138	11358	12980	4656	313	4431	8308	3429	547	3096	7242	4825
3029	7666	7656	5050	591	12024	7414	2437	1373	9342	3916	1409	10046	8663	895	7970	3784	11747	11368	4620	9684	382
7401	23	4368	2313	11716	4805	1667	8812	7910	11291	12247	116	3024	2038	9780	12306	8366	9356	7493	4334	1851	98
7416	4924	2303	4898	10929	2105	1364	580	1708	5388	8312	10500	4068	13278	10886	7502	4641	2600	11925	2407	7672	5888
8922	7908	7846	9305	3702	1895	3613	2929	11892	2187	2669	3385	1709	9615	2014	6087	4067	6067	3519	5456	777	8676
12506	6296	203	10301	4304	7204	1642	7013	75	5090	2867	4041	5457	4764	11667	4905	7220	12519	5141	8802	13224	8
2998	4742	1297	3136	6636	7256	6947	91	7775	8598	6659	12213	1781	7779	3081	11937	1220	7178	270	4926	2525	12254
5039	7625	13021	3025	5303	167	5231	1713	1853	5552	12823	7799	10766	4438	142	2726	2981	383	1366	8377	175	6281
3475	4950	6000	3703	12250	11239	12716	9560	9714	7115	13236	8946	10174	5077	5992	9603	3861	9933	7818	7515	10661	7137
11910	764	6275	1284	5904	3706	7271	751	9996	3254	9286	11174	2349	5814	3019	10601	9458	1504	10519	12947	11646	9094
11623	11614	7758	150	7413	7259	7871	11070	252	10196	5410	678	12613	862	8850	10604	3417	2635	5461	5416	8847	8307
4317	10175	1652	34	10829	8264	1390	6564	10093	479	2276	4054	9270	10123	6196	8271	10720	10861	12290	13144	5507	2594
5433	5726	3897	7914	2867	10166	5466	1861	7359	10087	7849	8836	8573	10731	4722	9052	5155	10896	2458	13223	9141	10168
4614	9714	2562	941	7855	6117	9977	1096	8283	13259	4600	6357	4068	11994	423	7252	4229	9327	9354	9150	9519	6866
675	8235	10982	1730	7624	2953	11900	11504	354	1331	1636	12022	3388	11763	4160	1391	2934	610	9350	7052	12341	1799
9172	8934	2135	11551	5635	6005	2545	6048	6141	10057	10310	2660	6768	266	12450	7551	12188	6584	12874	4540	12523	7178
4509	10943	5349	3168	7733	7697	960	12191	1106	3034	10968	3222	12666	9961	3336	6266	7095	5241	11567	6622	4604	5735
102	7938	11899	11361	12082	11089	1121	9114	11589	1075	13299	2123	6795	7700	9049	4884	2575	11144	1891	9306	10988	9937
597	4990	13333	1111	5162	4244	4505	13117	1893	13177	9661	3470	8749	2419	10888	10421	13138	6345	6025	6215	4043	9842
7790	3387	4008	2173	2770	9673	7171	6270	1300	904	7644	2764	8522	8444	11986	1020	12527	9570	3505	6707	13016	5797
6701	13200	5849	12385	3267	5964	9336	11868	463	12301	4644	6986	6637	8360	1475	4595	11207	12511	11750	2284	7462	7753
3685	3219	2437	8987	8464	11695	4816	12904	4841	1416	6520	11906	2149	9212	13017	2625	5734	11188	4378	8668	11907	4036
3354	8876	12371	162	8141	1826	271	211	7243	2852	5539	9282	1682	1934	3173	5171	11924	1401	4112	4821	5751	10758
7909	238	13180	11801	8467	12955	7881	5938	8134	6638	411	9758	10442	3826	6608	5117	1166	7552	8990	9047	5026	2730
12273	8145	13312	13289	9897	2649	7639	7596	9373	11915	7654	5040	5440	7666	4430	694	6033	3039	8082	7574	5081	10436
6464	7501	5428	4325	9465	8535	11403	4364	3163	10984	8677	4906	11348	7629	11713	601	11712	2616	114	9619	1821	8105
5759	4597	8001	10196	7077	9605	3589	1242	9831	9623	8152	1914	8169	7961	7569	6829	8466	4520	4099	11744	11137	7686
11880	4173	3667	12563	417	4438	3282	10205	8818	1403	10706	5099	11890	7017	7162	1395	10036	12235	2707	7244	1406	68
5263	969	6561	6400	4246	12089	10262	1827	4549	3214	7790	12371	7959	4748	9320	4102	11333	820	13303	5485	3570	7352
12152	4446	10789	10039	13178	581	3387	7742	3688	9446	6228	7343	1495	10685	11987	6278	1382	4742	12512	1744	11036	10719
12122	287	8920	9720	8319	1364	9605	7179	2082	2321	10208	1748	10227	7074	1596	9031	1923	3271	6566	3685	2600	2662
9121	3734	6077	6915	11153	1469	11252	5619	12876	201	7299	9013	7752	8036	8456	4670	10527	6928	6393	120	3546	9118
10182	3632	12573	12096	6118	3802	13173	6928	61	4113	3949	2293	10696	12654	544	2951	798	6304	2239	2268	10499	13038
7906	7944	13177	6373	9432	6483	10381	9703	2052	251	10	5411	7820	8933	4560	9009	12576	10449	3711	6475	4698	5073
9899	7362	5065	2654	10851	2674	11842	2453	10654	6307	9642	9939	7044	9781	2378	9988	6951	6851	6982	10768	3932	7657
1181	9965	4360	9492	11757	4896	920	6863	8304	6081	1910	11387	9889	11163	486	11647	2167	12726	8322	821	11038	9792
399	2728	10566	2184	4168	5158	5900	12955	13143	8200	6447	2110	1706	5548	10430	2471	10239	4733	12668	5667	5008	12250
469	4814	4982	5347	9883	11194	3068	4749	7960	11306	9901	2074	7138	5194	8373	11101	13335	7351	6709	6526	12013	10432
6148	1432	11195	7883	6750	12778	11714	4784	5890	12177	9843	6840	6773	11885	3827	11699	23	11923	414	1547	3409	5430
12803	3122	5595	5771	10333	5401	10308	6869	45	818	5895	5206	8129	1551	4713	8085	11071	595	1115	5678	13327	6976
8931	12015	3960	263	12992	4028	2386	12834	3233	7911	6933	29	5678	4538	11123	12603	185	3591	5575	9126	13316	7851
2158	6667	5794	3889	13052	6517	8337	2132	9499	490	4459	3145	5107	12547	12530	8302	1057	3515	8354	12957	9681	9416
5497	7275	3012	4095	2846	7964	7054	1231	10875	12238	7487	12273	7449	5509	11304	9188	630	8107	7994	10703	4288	4858
6505	10327	1424	13212	10074	7497	1362	8178	4589	9176	10506	4693	1965	9426	1439	13179	3935	8639	8044	1120	7607	11582
827	1281	11232	852	2044	12893	12425	2774	12796	5604	6366	6618	10159	9346	9665	5725	2497	1392	8091	9452	5514	10189
5506	12831	10819	3054	7742	8571	4021	4719	9621	1497	11695	9501	4704	3570	3050	2544	5984	13121	5860	13121	5710	8712
6271	8811	442	9270	9012	9455	10216	10173	2615	2513	5521	3458	2642	11989	7882	12558	7516	10873	8030	4475	1098	4470
8120	9803	2520	3663	10903	7169	10763	5782	6765	3370	9281	6558	1934	12214	2292	1419	1481	12004	674	5199	11633	12573
9905	2272	7743	1169	552	12176	6821	6826	2696	9140	3183	6022	1063	4041	647	4864	8055	6556	2230	5387	12541	8342
5699	5908	3098	2019	11290	3622	11833	11197	10339	12958	2858	8328	6218	947	3665	9581	12257	10667	8094	5263	8578	10141
160	2448	2121	4483	5871	114	1012	2396	9560	12080	13194	7619	2676	13107	4056	3010	3718	1111	9413	4545	11783	1811
9611	2107	12392	12484	9867	679	9351	8812	6731	10892	10737	10532	12932	3697	10005	4513	5316	6519	9271	6452	1268	8072
7461	979	934	10973	7425	11735	6404	9654	10721	1081	9467	3949	1009	2590	363	1389	13269	6025	3928	2018	6035	8739
1408	3615	3512	6180	6865	12482	2213	8920	112	10558	290	5498	2234	10952	6278	4416	6278	8057	9493	968	7860	5101
3553	8971	2931	6226	5385	5501	11427	5766	5675	2096	726	5515	1264	6156	5043	13148	7593	10129	2890	5098	6224	9645
12548	5512	9807	3099	10586	3445	8835	12460	7673	11492	11906	331	9664	195	1691	12845	257	10999	13292	5061	8242	4356
5270	3873	635	947	1874	3018	2215	10095	1421	9077	8730	8261	2624	13348	4135	11569	12268	10896	4121	585	8595	2756
5494	10444	2213	3327	1731	5966	235	4209	11490	12557	5389	10189	10514	11290	3516	12402	5054	1880	8259	9523	12647	6645
7929	8985	4225	40	2807	12047	6574	6084	11548	8638	11383	3514	12082	12861	173	11509	2877	5924	13336	1666	11964	10764
7916	10655	12108	12893	5579	11023	2771	9914	3864	4621	3828	6295	9236	9409	2346	3730	9472	3641	10166	6864	4941	12237
10843	6416	5025	13117	3219	11861	4700	8516	7059	5119	5081	9118	8744	4273	1496	4542	11084	10801	8658	699	5906	9560
4911	7510	7729	606	8279	6443	10027	4423	1845	179	7507	4968	12015	12596	3533	9096	7611	8340	10058	9222	11350	6440
2692	2167	2914	11169	11268	11080	9886	10553	7377	8367	8474	2089	4878	8048	9767	3049	11259	3967	11251	789	12731	11529
7591	13283	6880	4237	6190	3809	588	9500	9171	8781	5526	5485	9397	10149	12400	1053	12646	4347	10240	11650	8450	10954
3697	7751	2430	1000	13349	1962	5251	3851	6399	4534	2692	3543	10647	1979	12195	3257	6338	1258	3994	13196	7316	744
12572	13034	3927	5753	7887	1887	95	1035	2054	1281	9836	10561	4377	12837	9256	10644	10927	9740	3353	12612	152	5070
11238	1539	6335	235	8256	5868	6523	1568	7447	8040	10021	7816	5325	11998	12224	952	12583	13008	12683	8441	8486	4417
885	4674	3377	6838	754	11176	3398	10450	691	6924	2383	10673	3655	9982	1429	11646	5114	7002	13232	782	6380	12357
8409	9238	7805	10274	528	7323	5070	2675	1970	7914	2798	11467	13226	5729	12866	4620	7082	292	9810	10752	10719	12797
1878	10256	8636	2950	6281	12428	6020	5486	9706	4214	1218	13152	1160	8707	12252	12046	9550	2349	11079	11333	7762	11698
2578	5554	11150	12369	4700	10122	7070	10966	189	2558	8901	7007	5997	1845	7436	5110	5983	9303	9153	11728	2896	7226
132	3121	11136	12803	10544	1004	9596	8804	6005	10030	3165	8830	8413	11557	1164	6243	681	6315	5234	8755	1806	2849
10902	12472	4118	3707	11672	2820	7384	1961	9897	3565	10489	12596	863	50	5969	12376	5651	6085	2360	10	2179	10794
11030	9121	12490	486	13324	10327	5007	2954	8997	5238	10392	5672	7557	809	2817	5339	1758	460	7110	8302	445	9757
9658	4228	4978	6484	4922	10173	1731	13313	10314	3608	10549	784	6282	8217	10262	3777	1175	10618	4299	7846	8379	11853
7284	3498	11063	4448	2461	2703	5886	8760	3691	1161	3171	8164	296	9936	12182	13005	9535	8395	8666	4242	2678	151
8811	9098	3087	2201	7169	7319	12636	8785	7777	10237	11404	6138	4734	5412	12613	12194	2951	11744	2802	5345	3992	11461
1816	6453	7242	11275	2800	2418	7677	3360	5758	5264	3703	8634	3095	10678	11540	2727	10759	4332	5490	10664	8175	5634
195	6682	11563	12882	8700	12796	6963	3648	8906	7663	6213	11764	2756	4846	2472	11067	2528	2440	10215	3584	331	9491
10549	4628	3558	1979	6265	8017	3676	1150	12511	10657	6602	1455	12875	10393	2944	9927	8897	5310	4780	12024	9878	3812
2962	7363	9997	1780	512	7134	10142	1323	2377	4257	9068	11654	8030	13078	11376	8032	5067	6221	5369	12723	11502	12634
8388	3148	395	2736	906	6903	5855	10952	6801	8042	5685	115	11943	4258	11935	4732	10805	8214	4180	7971	11781	4486
5025	2093	12818	11214	713	5200	10068	5184	10074	1489	34	10921	1704	2295	2537	4546	9961	12884	6312	10773	12649	7908
4762	5949	4973	8493	8291	9316	6384	6018	183	6270	3387	6447	11092	5116	12604	6293	5132	11002	3073	3427	12021	1114
4668	10945	5032	10555	649	325	2055	6590	2890	6673	12371	6107	1427	8417	9267	7399	8636	9619	6196	1910	11974	6445
