0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
10298	16941	16752	6244	5490	10289	15177	9233	7971	16261	6129	3464	17802	7119	15457	11280	2524	18532	11973	3344	10540	16913	6280
2911	2257	57	13509	938	16201	16152	7979	9049	16	8849	15663	11812	11026	12655	7882	15212	3047	18280	7163	5006	16887	12149
19239	621	9046	10700	12904	6931	12801	4344	11133	2060	3358	10110	16564	4404	9228	16385	18420	11000	3285	14029	14174	11879	11394
5936	5362	16908	2717	14168	11401	9810	8780	2309	7010	13915	15834	15541	6450	2661	9016	7394	1464	15174	17731	2991	916	16630
3148	15119	17004	6501	5324	14208	6256	11349	6783	10077	12766	4457	13596	8553	3484	3427	8326	18142	10879	5226	9872	7417	18720
5693	10221	14893	11301	1128	3984	13121	4787	1873	10952	13268	14085	14994	15036	15500	1643	5306	13635	18634	5596	16489	17695	18791
7402	9914	13897	18473	13320	118	18460	9968	16145	1956	11758	6903	11997	6460	7656	9932	3730	630	11379	3099	13964	6663	3866
7809	3735	13660	19655	6674	19583	2181	3452	13828	8321	8590	11253	13933	16358	377	8644	6516	996	16056	13125	2128	3447	13055
10990	7948	16248	12890	14628	8093	12259	874	12863	8199	17648	1199	5249	17992	10499	8943	9881	4989	780	4567	5064	11426	4196
1481	13211	18641	5591	5640	11038	15902	17012	9905	698	10708	14180	1101	13681	12356	16592	18515	8347	7403	4553	2178	13857	3995
6757	9352	558	1673	11577	13461	1778	11385	6961	11622	11539	3600	12091	6208	6238	16010	11886	12752	18016	1535	13481	12983	7157
12810	2590	8185	12226	2755	19404	12957	8704	9694	1795	4318	5209	11422	6890	7631	12623	756	15516	9238	17807	1963	3243	19126
17011	18939	242	7459	9951	1572	10171	13908	10776	14703	12422	4192	7763	8642	5883	8056	13180	5036	6130	3853	48	16750	14798
2240	4625	14794	5052	16892	15897	13065	18437	3408	11940	5016	12184	4670	14562	6751	8845	15774	10165	14778	18779	8948	11913	1218
2083	18548	6587	9712	2442	14250	6114	7600	7731	8833	11703	19415	15849	12172	5719	11858	1630	16669	5414	2116	5753	13368	6220
6015	5495	11808	17814	12974	6447	4264	10410	12916	15709	3926	9249	6728	15788	14905	6755	960	2966	12617	11185	12524	16991	7343
6946	18003	13354	18791	568	3478	4140	11757	1938	15334	3122	6476	5894	2756	19098	8418	10505	9341	7613	11648	2904	14409	13216
3434	2031	16185	16265	7557	15792	6258	16938	15128	1627	12031	3368	15986	2747	13187	4378	13056	2719	15534	349	13103	17102	18647
1171	17986	4412	8295	2873	5643	7440	3143	15312	16674	8370	15610	7046	13610	6985	17985	1838	6880	6064	18840	2809	10969	10476
11529	3287	12209	17335	2939	1316	3083	2724	14437	13438	8293	13713	8012	799	3226	13899	13701	17187	12718	7997	10516	9146	19443
6190	13227	355	12602	15538	1549	9907	14581	2044	5274	10254	12480	7858	11873	13410	18700	13500	17947	11109	2051	8918	2772	6877
17072	6942	6871	5717	8456	15286	4260	14371	5944	12467	12612	8407	6429	6188	14794	5388	19621	13649	10221	19024	2587	14171	3975
14257	16787	18297	4631	12075	9302	15241	7140	14824	1625	16951	3590	14175	5216	14078	18533	3053	19186	1796	5671	12975	9632	1824
4422	4106	15662	12644	7618	7056	1635	4467	1525	17814	12620	8112	14381	3285	17480	1162	18087	16019	1073	9619	14330	8979	10716
10127	12411	9526	7220	8857	1839	11649	14878	16232	6027	8442	17860	3350	15776	1654	3062	18252	10833	13727	10103	8214	13081	8100
15236	909	7270	4377	4403	4737	14831	3251	5639	3321	15021	3929	13976	7695	2912	9259	19024	13297	15556	6453	9761	15396	19157
15858	19356	3737	3773	6677	14573	15710	15933	9501	5232	8988	3355	15261	16591	7280	9981	17986	473	7141	8548	16554	11280	12235
7049	17625	15123	14186	11894	11614	15655	13475	8496	16716	10957	17377	8635	1788	824	10751	10836	9677	5368	16692	3036	19357	17310
7207	60	3902	17346	16198	4987	6515	10038	2385	2753	1655	6850	15202	12083	7314	15385	8590	7683	1688	13928	12064	17133	9352
14638	761	7771	219	6472	8891	16945	12880	13365	8991	4427	15813	11097	5998	15199	7497	9333	17500	14363	15546	4524	13134	18518
11541	14933	2893	18457	9590	5259	9926	2930	12087	5091	15616	13533	14007	5934	12773	9393	17082	13299	6394	8188	18418	13900	16070
5369	16439	7193	8229	10860	2985	14462	4729	8630	14255	3516	5830	18616	852	16591	5131	11511	750	13193	2067	4090	18581	3350
18245	4280	18423	4699	13970	12650	4544	10129	12710	15891	1204	3373	2297	11334	2124	17583	7918	17905	5695	8698	1028	2567	2588
9086	4817	1561	13257	1144	1170	15741	11656	491	13082	14720	4188	11254	2042	5636	14602	9079	8254	12362	8309	8177	13619	4835
16330	5505	2799	12529	1980	10663	7105	5934	14057	1300	11058	16096	16194	14611	6715	1117	15986	16016	2099	10740	8449	13590	7269
18727	13231	15486	15248	13891	12424	16190	915	2219	10814	5219	18633	18512	17390	12550	2029	12504	941	13293	18369	2590	17978	5617
11307	13309	4555	3165	4574	14354	10048	161	332	18460	1799	2064	5045	14486	8284	3398	19246	18847	10736	5610	18147	4429	7498
10684	469	11267	3030	10669	17671	5133	15503	16747	2123	7356	6013	6656	17960	5203	13283	7363	5336	18870	3202	2157	7848	11347
14256	8124	19211	17559	12031	120	2458	11583	18609	4504	3786	10349	15265	9038	872	290	356	7436	929	16639	1015	170	14427
13320	16370	18306	14839	13402	8078	17917	600	19091	7845	9243	6725	6652	18010	11248	18070	19413	12564	8822	13528	15473	16285	11929
12484	19531	12765	6697	11119	16057	5585	1319	14223	947	17764	10116	4206	17168	17676	15679	15649	13692	4558	1267	5637	4302	6703
18985	9251	18044	10674	9227	19525	16777	5239	2078	5542	5723	11569	10050	19093	16018	3271	6482	3527	5348	14728	16860	4710	8519
525	15455	15255	2349	4197	5713	19450	17444	16412	9303	16801	13748	18713	7371	5347	5009	18336	16304	2626	9488	15584	9111	4573
6214	4810	9492	490	4031	4445	220	18700	16310	15917	9590	16189	19037	4483	12057	14711	8285	6814	11893	12775	10193	17096	18723
692	1118	9597	6764	5163	11115	3897	16784	10137	2511	5876	15593	4648	4442	11127	17557	1978	6466	10617	7177	13071	6040	3144
4454	3866	18450	7055	17534	4100	19063	18933	18259	1849	8406	14714	1809	7112	9313	7818	17234	5060	3349	15773	8650	10657	14834
17758	6763	10240	16212	1509	5972	11970	2867	12320	441	7742	5357	8752	6281	9789	1044	10073	2539	2316	9352	13630	18420	1663
3716	14292	16450	11356	10398	11760	10574	6754	3696	2475	10297	18834	19282	6757	18231	14648	18552	7787	3886	8236	8388	16264	2785
3933	1481	10670	3171	19478	2799	4721	8992	1226	15302	4637	5893	1760	18963	3103	16100	15428	488	3483	14440	7846	15668	7303
9489	6226	13786	10990	9628	1805	4617	10434	15634	2575	222	8166	12428	5610	3632	12856	10694	5456	66	16153	9992	13160	11794
14186	16606	18622	13883	6976	15566	14037	14127	12483	9751	8797	15454	8418	2643	14018	12594	12009	13146	7284	6210	18864	512	1654
8227	5396	9023	4644	16911	16490	17778	981	17994	17733	1798	7471	18067	17212	4941	6123	12865	6755	3461	17313	12366	18302	3189
13651	16405	9422	8801	8854	6483	2500	2502	8186	5873	2495	10739	17277	13402	10440	13978	11530	5210	14712	19351	565	12219	14424
4518	9844	11264	12212	12353	15365	60	17898	10030	5477	2751	318	13374	1064	18059	7905	120	7895	8574	9547	4571	5588	4314
3632	18224	6038	5433	6732	3583	5586	10019	17582	16330	13657	3832	5403	13145	13009	7495	15696	5378	10039	15312	6605	16234	19189
9048	14280	4902	18552	183	11617	8948	18262	8964	964	12879	11907	16249	15658	5513	3626	15965	5799	12898	16670	9745	3494	2411
12	11790	14346	8226	15532	18176	6971	16845	11800	3658	6683	10348	12401	6066	3110	9447	7751	10512	3199	19469	14352	6984	3335
9136	648	18475	13201	13445	5000	1566	13721	2521	17606	4418	12816	10549	10224	9288	10298	6369	16002	13666	17037	13741	17131	14496
6577	19506	10553	6885	4675	16775	16501	14439	12943	18190	2537	13037	9079	8819	10310	4206	6113	13512	14225	8645	10344	13351	4736
5809	10312	16749	8450	9075	3137	19501	4189	4656	10779	14798	15720	1827	19142	8850	16883	16478	14277	8475	7073	12583	17229	13807
210	19663	12717	17456	16205	2645	13225	4319	18139	710	685	1424	18758	1413	18140	11694	16162	16678	16135	484	11743	9662	4613
8452	4879	4914	8111	12799	578	9917	15641	13280	7815	15636	17317	3705	1207	16071	15699	6503	10121	19255	4108	17382	16758	4126
10074	5473	14104	101	5914	11092	2562	18959	16675	16925	6898	12652	9421	8884	10034	7357	12585	5246	19270	9069	18014	9179	4233
17416	2944	13520	7619	2790	6349	3177	19470	16074	2425	17342	18895	6004	6899	3241	345	19489	2575	18767	8072	10288	6691	13336
15730	3884	19155	16788	19383	8263	3392	13048	8645	3683	15160	18043	16873	10139	6797	9675	13682	35	4933	7064	9636	10382	5089
7585	14311	5606	6383	5871	18773	15431	2919	14238	1349	9808	5572	9240	12203	2681	7020	5473	3144	14922	11522	17854	14540	14861
8799	15118	7055	15020	12686	8070	9591	12139	17670	332	17412	17529	16875	16765	7738	13212	8149	1360	7516	10109	10639	14339	17827
4197	2171	12288	11882	17673	10945	5135	6325	5232	3254	16799	15711	17166	2314	17046	6114	4837	19233	9817	4414	10047	15578	7813
3548	12962	14943	17806	8418	11147	11471	1265	252	14705	18790	779	19100	3576	9106	2787	13667	7453	19032	2930	14264	12904	15673
1857	1379	10379	555	8800	18791	13420	2839	12319	11341	12667	8619	9259	4009	1858	5985	17021	7856	2892	11237	7566	18285	1773
15916	2764	230	3289	9434	12483	4289	10978	18441	4785	5091	19058	16147	494	10916	11646	10785	12765	1488	1480	11626	18309	15170
16346	12008	17991	12136	1105	8072	15259	8302	9190	18454	4709	3074	15726	10965	6081	3788	16630	667	17617	17262	17717	12051	16824
12296	5761	1146	8605	9421	7109	16041	19364	1718	15058	12099	10063	8583	7128	7269	536	17095	1128	8316	14147	9944	13515	11890
18393	6697	5093	3083	17655	778	15043	3790	2325	18813	18385	18540	9470	15508	14318	13536	11033	11279	12900	3285	4457	13432	1321
16898	3282	9637	6622	12813	17319	14570	12686	19132	17087	3429	8236	2490	19149	15391	5495	7825	5344	10866	16574	16358	8043	15909
10186	3917	5838	2616	8359	9506	18376	2929	17782	6102	7473	18977	19018	8767	18681	15854	9929	19295	9316	4189	4051	5202	5506
9102	10261	13377	13629	1192	10829	16099	8574	248	7930	17857	13048	875	6598	4372	17231	16901	5018	16678	254	4044	18382	2488
16341	16063	13898	1858	10403	512	10066	7571	17796	14267	1009	12676	17335	3872	18781	18076	8348	17654	551	4210	15995	3385	4083
3918	445	7268	14629	13392	16175	9448	2307	8661	11007	1122	6483	9971	10476	18010	12666	11862	16600	6888	15507	4440	18850	9465
864	12303	17400	2722	12609	10559	14506	11196	4813	2985	12222	3329	8667	14083	11578	19559	14041	14698	15606	1866	1109	1878	8297
5743	6031	7546	17223	15364	9533	7501	480	7119	10796	18358	1739	8146	3064	8422	5563	14253	6488	1459	2035	12806	12596	16880
19487	6409	6333	1115	12114	1287	19053	3183	3518	13884	19353	6841	18894	437	1815	9841	15053	4918	7580	14189	6731	1980	6291
8596	3103	17648	1143	17374	14030	18287	15604	710	9023	6456	19482	7681	7153	13963	19006	9433	14381	15157	7267	15975	2858	9239
883	17530	15570	2261	7179	858	11899	6812	13057	16490	3274	3457	4401	12423	12132	7604	12951	9746	3744	2755	11849	13706	5744
11924	10423	947	7100	11453	16494	16026	5087	10498	12020	5939	2973	12560	18817	17673	5433	14837	1976	289	2843	10370	7766	10400
13311	1537	12036	13583	12290	10722	17028	16546	15700	5575	1474	7020	8035	17277	7804	1423	7546	12142	10893	12704	11047	2285	19264
4317	11459	11604	11164	12018	8382	4551	8260	7259	1797	11473	11005	18087	15020	10193	5613	14620	1350	19360	11974	5790	10515	12295
10125	12917	712	9803	2554	2809	18325	1277	18307	2550	4864	4949	3199	16730	14993	5334	10924	14113	16325	6850	9887	11492	8794
2250	3378	14321	3836	16251	13028	18163	10548	18288	18393	13282	16019	6771	13282	3805	6939	15564	4943	2091	13720	1452	2600	6661
2218	16592	1296	583	9336	8735	18636	9524	9891	3538	7654	17754	15592	17888	13185	14992	18500	9229	1941	861	17638	6601	19439
16730	11285	11419	908	15163	305	19017	8371	4	69	2728	6283	8896	13486	11087	11693	12890	14237	17165	732	9510	7349	19234
17080	8606	13151	10158	18968	16623	7539	17447	18890	5136	6599	15392	7108	12931	7314	4785	1614	3630	4921	13090	18667	16446	12430
12804	4254	14501	2969	3449	7520	250	17645	18395	14097	18644	10394	8624	11763	11057	2353	5073	8868	18146	10225	8161	15190	15119
9561	2229	5983	5389	10575	13192	19480	6391	5201	11803	8624	9649	6835	1779	6395	11868	2836	13202	18316	13863	11594	7270	8039
2235	6158	19360	795	15357	12027	14475	9398	2128	16160	13345	14285	15274	19337	2053	9528	8867	14476	6101	1458	12898	11894	10662
18245	19193	15063	6900	6672	3006	2403	9679	5501	622	12348	16678	19478	5693	4986	640	13124	4060	3481	11538	15802	6199	51
9096	3745	15382	13510	14662	497	11505	2713	12964	14280	2367	9247	10369	4219	10153	14417	6408	12430	3193	3007	12884	10253	19637
3267	8691	11278	1941	15069	10536	7767	10341	12421	9657	8593	4139	18896	4837	347	3214	6391	814	11476	17670	9019	8691	1864
11590	5502	2105	5557	5901	211	13247	10219	9994	13841	14504	13732	4535	7932	12743	10858	15939	1333	8769	3306	14231	17041	117
7365	16194	7417	17414	6822	18501	13199	7127	18161	10274	10760	14368	14156	4105	7741	6588	7338	17950	15087	1275	18093	9954	4501
18796	17196	2795	11260	13825	15554	7426	2792	12704	13627	15290	19034	7072	8976	18157	13840	99	12184	5822	17011	4528	9804	14271
1790	4953	14336	10259	9672	2294	1610	12026	13741	12520	5918	1950	530	2444	18482	13124	9228	2771	4562	17987	6682	6651	9584
9771	14037	14997	4610	18141	6269	3074	19320	2784	3759	16985	18391	16461	10468	9208	5822	6686	13124	9177	14224	16075	10551	13084
19240	10564	15403	12051	12817	14486	8996	6091	15255	15314	17863	10296	16323	5636	6978	14448	926	1508	16340	19422	5746	9757	5554
16960	10948	19018	16427	8035	6951	16094	5516	10220	1844	2050	16005	6822	6764	16083	928	15088	936	18113	755	922	4179	16335
8142	17183	18002	465	3755	16170	1452	13709	7949	378	15759	10861	5369	235	4183	15083	18864	1433	1057	7897	19612	8533	8941
335	15513	9360	13153	15783	10352	12060	9020	10724	17691	19215	18090	1634	14101	2749	9938	11827	3241	7517	17702	12386	18626	17064
4569	3416	17218	5278	7891	19329	689	18600	2419	8943	7247	2306	1849	10148	3138	1798	9861	19041	6291	476	672	10838	15834
11158	11133	6031	6369	9567	11027	1833	5657	13930	3529	3476	2630	14891	15641	18173	11175	7606	17454	8179	10085	4227	17567	2304
798	17385	6153	18391	687	3516	3869	4525	17876	3188	18305	11491	15237	2210	3109	17659	4499	15739	6960	12886	18499	19313	17986
12369	5378	4452	14997	15038	4516	3546	11404	3466	15230	4416	3822	11404	3875	5546	12177	17505	12288	18156	16032	9323	8799	4830
1116	6549	13477	13154	11711	14668	4794	5857	17780	2221	6574	4171	12411	1800	8663	6188	19577	19041	2108	17328	10111	15639	7342
3612	2917	6197	476	19222	1091	422	14298	16544	19476	1119	190	13777	4920	4815	3898	19616	8505	1745	17037	14790	1395	6608
6611	11759	4550	9665	11146	9163	673	17216	11294	6640	11787	9936	4470	5301	13316	16902	14009	16505	13141	6245	19477	14921	19285
7729	18378	6233	1080	15646	9379	17711	12521	12739	3634	4475	8940	8148	1604	7730	8252	15614	12687	19660	12948	5604	10412	11714
18970	11162	7854	5499	5109	9516	17092	387	2602	8928	8239	2309	413	11274	16798	716	10250	9172	8581	1616	15041	19015	19368
16217	7866	3019	1549	1098	13854	8618	16054	2399	11884	18102	14075	18498	14245	16073	3567	16390	11003	10015	14760	4625	2630	5683
9952	16530	16618	14820	15708	2980	16638	3416	17743	13519	9692	8709	8149	14554	6141	14558	12360	19131	19478	1959	18342	3768	10734
7859	18101	9334	18727	15854	4579	3081	11927	7085	6629	19601	7259	3672	7490	14229	19453	11192	12894	3345	13987	6776	144	2193
12823	4970	13679	7712	10100	18352	8255	3370	7583	18050	10169	7174	5343	15957	4258	9504	13951	3262	11138	16396	13868	16891	4328
10096	10418	5039	11071	4279	18930	18138	17026	17074	6493	14505	4982	12279	17188	11696	7309	13546	6052	18920	9298	3254	11434	5862
13604	4354	2293	16300	16730	6770	9276	6741	18869	12424	652	14270	14714	12000	264	6649	542	6701	10967	4354	2519	14841	9822
13978	18328	17829	6229	14703	11457	15169	5469	13061	15158	11211	3080	17111	2199	1025	18147	6083	12177	3239	1125	16259	18646	16840
6175	4933	11295	7574	8428	5866	4063	12690	3339	5471	3319	5605	10248	18034	7154	9524	13905	2291	9061	10693	5346	7965	7197
3524	4974	12218	10666	5807	14556	17548	15849	5044	1992	13823	16600	4615	18972	17542	5990	15486	2344	12902	18775	12980	5423	11596
2472	13647	18372	9448	11146	5452	7889	6865	6590	17784	11045	12173	7118	14589	10247	18726	3413	16522	7106	16960	304	7773	6860
13792	4571	7027	606	13478	15054	13511	6292	10667	9537	9591	6364	5046	9466	1076	2754	16030	4	11492	18369	3055	9392	3757
4736	4066	10040	10012	1730	14303	4833	4278	1506	2741	9981	14023	10178	4726	4433	11547	13457	899	11488	16894	1070	6783	18047
4066	5938	6171	10485	12841	10112	17983	17278	5302	8778	8967	5172	2139	17726	15769	16726	715	4587	8887	11897	5710	9673	3153
5812	9262	9054	9873	17876	10406	19238	975	4465	13370	6120	9292	19397	7685	18521	16956	4750	5109	19007	17708	556	8038	6170
3485	11340	5381	1542	6078	8176	16014	13783	9927	5917	4697	10929	13528	12693	12194	9509	8223	9321	8813	6959	18539	13462	3731
4169	15708	8635	7151	3061	1786	17138	3185	1	16084	19009	13114	6177	14349	10147	17772	6093	10172	4247	8456	15447	2410	13541
6132	18625	4184	2564	2235	13626	11156	16826	15507	14972	11271	3048	1467	6766	15419	13763	16311	18971	9893	11074	9873	10572	245
1310	19052	11984	18847	153	15049	14805	5479	15651	18712	16802	7082	18604	3338	4746	8631	4494	807	2751	6776	1418	3958	11048
12378	5436	7607	10694	19630	14337	8641	6980	5138	1712	8254	865	4913	1550	11206	218	18102	4948	9002	8740	8608	3660	3471
4761	570	16535	851	13526	9580	18043	13501	16659	12155	2419	12258	9701	8239	2951	15186	9925	4610	1429	8473	2689	8035	11522
14174	17647	18055	8930	18945	7434	3346	1130	15669	19043	14669	12176	14800	15185	1084	14026	4920	6922	14247	11579	19115	2886	10044
7620	19296	4266	8128	13566	903	15471	890	12838	7148	3619	6193	4151	17937	15526	9049	19607	16756	11559	9750	3671	3706	6216
5535	3827	10591	10863	11644	19131	17246	958	7346	12034	12525	13200	6160	952	4300	18770	4857	18001	1293	1634	13901	10197	17746
17969	4615	15574	12064	18261	8139	5353	8475	17717	262	15552	17848	16115	2639	9332	15258	5964	5073	9205	15489	11116	118	19408
8447	5856	10541	2018	12483	3713	7730	8032	7537	2551	10736	18924	13379	19291	12310	15518	941	1735	17668	11432	7258	10800	13487
2573	146	4988	13827	1764	17325	5878	12325	14372	14186	12703	16283	9166	11476	16839	15382	4137	341	413	3857	13529	19655	4392
4818	4167	1123	7531	7081	16108	4146	18727	13026	13880	13135	18448	16155	10304	14300	10476	18272	18010	3264	6114	2245	8443	4566
5117	3087	829	2664	16708	10867	6995	3102	15378	10256	3940	12386	10283	9263	10152	2375	2973	9579	10042	6751	4226	15773	9733
13377	11184	2649	18584	5446	16020	17056	947	9981	4819	9450	2430	1727	8005	2013	568	16102	7228	10998	6864	3169	14288	12664
18205	6331	13998	7174	8493	5283	8571	7800	15680	11330	9445	736	12909	15596	17400	2885	7521	10957	15686	14993	666	4819	8724
4854	11587	3207	14384	8990	3852	248	19361	12287	5084	8546	7429	15870	8716	4450	15583	1187	4694	19621	18304	3751	10368	10945
16837	3766	18846	17839	13779	10790	7248	7010	13704	6699	8962	8250	9989	10972	11918	4975	8956	688	2701	9253	2654	18102	8131
11769	7173	1261	7467	1685	16845	2265	15888	2939	6260	9988	4321	13872	1510	15171	4760	822	7760	351	3954	7087	5915	797
18719	8504	11259	19055	14528	1259	10994	12658	5845	17836	6825	4356	14968	2694	943	9248	4574	1256	14298	3647	12820	12519	19301
10570	19126	13005	1218	2656	13570	8434	6348	2771	5688	5908	5475	15436	9333	8458	8314	1107	9984	12738	14564	7747	15192	3417
1439	6119	14755	12271	6185	9424	1824	17479	16004	7827	6936	14092	19329	15634	12246	5551	2863	17530	8022	13505	966	10884	17874
9739	2929	14637	13805	4103	1764	9278	14269	17535	199	11615	3485	14915	883	4508	16318	4183	15035	19085	10955	12346	13047	10083
9797	19358	14454	17833	15067	182	4531	9184	18109	599	8735	12163	19239	5146	1062	5596	9411	8213	12019	537	8486	16328	2548
5658	8084	8761	5598	2797	3909	14213	15166	13031	13656	6358	4321	3963	2294	16442	17252	2037	8008	3382	13536	13659	7524	13182
14536	671	9234	14471	168	4221	7514	19004	12834	12636	7883	5163	16212	174	4317	16670	1547	9261	13687	18936	19323	13331	7613
18774	12198	2717	6163	17222	10718	19033	3046	167	4706	16898	5219	442	14751	2093	13980	9153	18917	4765	6845	357	17679	19516
5250	9988	12754	16476	17648	1499	14986	13207	1965	3251	10028	4863	15391	10459	15015	1174	17059	9769	17545	48	17747	801	1163
7255	9103	5034	4662	976	15500	4281	3217	7712	227	10975	6949	1434	9157	10602	19395	14546	15426	11901	7304	6102	6389	13244
7	13975	5702	1009	11862	15734	1234	3261	16584	2136	8022	14074	863	16800	19149	11475	13600	8022	9693	9573	4805	5338	2743
3470	3516	10390	15820	17763	12075	8169	3824	2550	13901	8780	1120	9924	10043	3592	16681	18051	16674	1440	5065	11354	13775	19023
1157	2540	4905	2441	15798	3637	18147	7632	2397	10460	3083	2760	7134	9535	15157	2421	6226	3526	16495	14145	14079	16107	6342
19587	12060	2896	9586	13156	11113	13699	1766	130	1802	8206	7570	17395	13991	10055	14640	19524	3079	5181	9412	17082	3843	3723
13966	6143	19524	9744	14373	17912	8578	9257	4777	18505	7193	7282	4408	10418	7902	8714	17037	3186	2114	10092	7457	14693	17371
8765	6104	7376	18248	15373	4785	482	12946	12685	16205	4846	13357	14044	17430	13996	1952	1198	5051	1068	16510	17389	6857	12227
6973	6296	13703	10321	5876	13413	4707	5689	9214	9846	5487	313	14234	16804	7709	6605	4539	14057	18528	11084	10742	17801	12654
14894	11826	12748	13744	4580	2920	13428	4128	14557	4016	9542	15125	4384	15237	18290	6355	4404	7341	1767	6015	5311	3050	18654
