0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
2497	10253	4220	7181	6140	4702	7753	5401	1266	438	3108	5536	6407	306	1108	982	10139	8460	377	2048	8705	1957	934	1734
6829	3664	10324	6207	10758	6831	6441	4444	4346	8766	6221	10646	3601	7030	9041	728	384	6992	3684	708	1127	620	9596	4023
7733	2470	1832	1725	2753	10353	1492	6285	6890	10966	7033	3306	10772	2230	2860	10610	2116	2985	1640	2547	5337	7357	1957	10266
1144	3099	9790	1637	315	3621	531	1998	5108	3965	6105	9051	10013	10659	9489	4029	4939	8594	1799	9152	1413	4663	9653	4726
2550	2162	1483	340	6765	10866	344	3699	8804	5720	7166	10206	6940	6966	4925	10460	4806	8799	8529	10553	7219	6628	3101	2456
10754	4929	9333	10504	4541	6183	6342	611	3284	1521	4848	5984	5438	9715	6171	3303	1304	4029	5632	10930	969	8939	8506	6053
1589	8153	3789	141	3601	10663	10991	608	4004	2236	9366	2446	10714	4807	4392	9362	8611	8633	4864	6082	9036	4251	6741	4015
6832	3887	240	11063	4553	2677	9848	8107	1897	6448	8936	43	1710	9124	8806	1875	8990	5222	1239	9732	10957	6110	2658	4149
646	5046	410	3228	4248	2065	8038	5821	4607	10352	6019	6436	9480	2804	9987	8241	6375	4612	1873	3409	6296	6881	1512	2547
7518	9546	8390	9195	5517	11096	5918	3415	10353	6378	11109	3597	7981	162	4687	4342	3105	7326	10001	1259	422	3401	5775	6199
1249	6388	8656	8783	8699	9693	1746	10550	1287	1392	6211	9103	9849	1547	2839	7749	3564	5863	1056	342	1221	10872	6191	8907
9921	309	4151	2029	794	8309	3395	2839	3671	2750	4657	18	1472	512	5840	4564	5326	2384	4643	8445	1429	10324	1492	7978
7623	3775	4377	885	9505	7066	10089	2222	7994	8479	9466	2586	2166	9456	2168	4388	1376	9679	8088	10978	105	10411	9427	3739
10870	5115	893	195	10896	10041	2765	9834	7040	5373	6892	5643	2173	8376	4679	10436	9920	5549	9457	906	11088	10393	10431	11073
10643	8480	2586	3259	614	10111	2932	5163	6921	7257	6324	858	9912	8048	8148	7672	3306	424	1788	4389	2098	4344	3656	3278
4353	6810	11096	473	8332	10873	5982	5047	801	6856	2829	3297	2657	6162	9997	3414	7667	7620	1072	10756	10003	3294	5990	9536
9599	9559	6130	3225	4398	1863	8469	4294	1978	10575	5041	3564	8225	699	7361	5230	987	9478	4519	6850	193	4255	4518	5919
1634	4141	5050	7824	10527	2415	720	2174	4140	5321	10452	7530	5012	9371	3561	7583	6965	2189	3141	1907	10918	2055	10289	5706
8366	3935	9217	4374	6573	4254	10972	1976	9019	1260	4537	1088	6376	4146	7924	1754	3433	7845	1676	640	6906	4320	3674	3550
4077	9238	215	6076	5071	8732	10565	5878	4264	3117	2661	6873	5430	3601	5114	3725	9704	6844	10609	9518	7711	9010	8781	4287
5064	301	9731	9714	2053	537	5395	5208	9777	3085	783	8206	7293	7124	6086	6463	469	7320	8119	2187	15	7212	2767	2084
4917	8899	673	4873	236	3774	7640	2142	3360	6583	8298	7006	6501	79	7918	6216	8355	5895	132	6697	6091	8874	3083	37
6300	6758	3209	11014	522	9997	9892	2391	8044	3564	5053	870	3440	7422	9843	4302	7335	6364	5823	4845	5399	5497	10654	7950
955	4906	2040	8140	2605	4539	9638	10206	5137	1493	5538	7187	8533	9199	982	4233	11094	472	2657	9163	9845	5633	11092	1575
5263	10735	9640	8119	5825	5082	9348	8740	720	5870	6646	10212	10004	9932	10565	4064	5955	9248	8314	8677	5375	4649	6043	4663
2823	6016	9697	11043	10163	3646	1492	2616	5369	3144	6393	2941	5710	4571	6983	7018	2254	9332	5165	9099	7041	3294	9437	9235
7481	5989	5260	10381	5387	6253	3363	52	2707	3008	3658	9129	2213	2672	5223	6793	6760	5024	915	10313	6346	6474	921	4070
5147	803	9092	10191	1439	3078	7862	6817	10963	7793	7978	4038	10042	9837	1088	9856	7182	1309	1322	5485	10792	9752	4522	6816
8422	8372	10683	9053	5880	4451	2976	6517	9142	10596	6842	2560	9601	464	3454	6234	7957	7563	5558	9745	2730	2708	8709	10913
4304	9516	3230	5243	7840	7364	6206	482	9417	5180	836	9062	5042	1458	11012	9573	1446	392	8595	7942	1583	485	2060	6359
9662	1547	5083	5393	4505	6134	679	9512	4040	8869	6075	294	10793	1445	2677	4713	9405	1572	6341	9202	4196	11043	2386	437
8839	9374	4002	1732	1478	9051	6444	3557	9659	8816	512	4115	3452	4499	10447	7519	3630	6782	8167	6592	4288	7934	1187	1067
7140	10485	2164	10787	9111	8816	4524	606	3852	1413	845	10261	1617	834	6646	347	2578	10577	10281	8027	7258	731	5973	3995
4294	6558	6118	10437	4606	8892	371	3115	1223	3715	397	6667	7018	9100	4417	7360	2334	8282	2873	6182	3649	8618	975	4905
4944	8156	4459	10537	6490	4201	9253	3030	1902	10282	5876	4842	1228	8650	1898	3178	11103	3436	10652	9060	7895	9858	5804	4140
3836	8317	8011	8485	11122	5927	8042	4978	5699	1325	525	2140	117	3375	460	5712	1859	8801	7538	2308	6557	10207	4375	8793
4112	3537	1600	9138	9514	1871	5523	8353	10592	5478	5061	9194	11052	7649	10529	5864	10563	8316	2644	342	1379	9360	5520	6086
11073	10865	9551	7258	48	4137	9814	919	9352	7428	10973	10441	8842	6848	7974	7558	11114	5010	4794	9053	7709	221	481	2041
9064	3259	6448	5541	7065	1887	7172	6613	5463	2006	4556	9240	5516	435	3297	4890	9739	5245	727	8129	5229	9924	4943	4124
4939	3510	853	8640	2445	10548	10679	1748	10183	6719	1810	7288	6946	1132	877	7985	2540	10458	10867	2317	6909	10554	1889	1706
5761	7281	7255	7006	1383	7637	3377	396	3844	3208	8440	9886	3660	925	684	386	231	3013	10969	4881	4968	3636	8688	4804
10739	2708	242	10576	6638	6600	10813	3591	10147	5841	3603	910	1007	10323	3730	408	1200	7885	6305	940	11036	5505	1335	4409
3847	1114	2441	7736	6351	9597	10000	4714	3080	7868	10650	10944	2606	10698	3295	4977	1149	9986	3502	7034	4660	6237	3314	8597
10551	7137	6715	1422	5048	11094	3778	7650	5734	2179	1222	6856	6355	9810	8063	4052	10632	9081	1311	4057	3861	2430	6900	7741
3028	6225	1434	1957	10119	2575	8416	9047	1408	160	5402	10184	3075	2196	7873	5597	8725	4785	4791	4234	2610	5898	2699	8804
3197	976	10872	9081	8406	9223	2804	6352	3750	9645	4098	10537	2841	5492	3747	881	3457	4820	733	5444	4512	5369	2883	4999
6790	10107	7506	1127	9719	10346	7650	4675	9903	1309	2793	3389	991	6467	4820	5043	9876	8962	5694	2265	935	5287	7626	935
9063	4899	5618	8076	8713	6455	9679	4706	6241	10221	678	1806	1319	6246	5768	503	6149	9977	5347	10728	6028	5851	9344	10582
8383	9013	2492	9532	6185	9514	1888	10878	1876	761	2026	1171	450	7618	596	9949	4555	4060	1610	3087	7582	5953	1908	3565
1410	470	8618	4449	3647	7759	1625	952	2241	10048	2532	793	1647	9195	5731	7045	1813	8862	9299	2284	8542	1414	1700	8285
7895	10297	6513	4480	3722	3166	5650	9044	5415	6417	8071	6831	4136	6922	3041	4358	2126	928	7557	6705	5503	9475	10838	4618
2746	10583	3335	491	4067	7345	1885	517	7111	1375	9095	5435	9048	5127	2436	9789	7252	7703	6443	9979	11088	9730	10589	707
712	1320	7013	3030	8681	8939	10331	768	1432	10701	3748	7086	11012	5362	8948	6450	5992	2883	1021	4969	5726	6016	5785	8914
625	2985	7702	454	1397	6599	8778	9752	3917	2418	4852	1269	800	9793	11046	9107	10024	4556	4935	5971	4670	7075	10862	4648
254	8670	4838	278	1911	3414	1650	1121	5236	10246	1142	448	9478	8751	512	4474	1725	9909	7926	10818	9362	6323	256	5461
10953	547	2346	3731	5580	1376	3966	735	6213	5967	6493	4480	6476	5516	8246	2742	4173	5254	4215	4855	4237	2645	10084	5532
5208	6904	9533	8278	7718	8395	9188	4632	5542	1015	1762	10003	3597	6964	9024	3457	4208	7639	8659	4458	2270	5958	9261	1950
8662	6092	6969	115	1383	7751	4110	7560	2604	10136	1303	2283	10479	1371	906	3352	3073	5845	8496	9273	3916	7511	404	10585
4357	6992	1458	7578	6324	6330	8883	2823	5805	7670	9231	5544	9994	2453	10653	7888	7039	6996	8543	1462	435	9038	1345	7308
4588	5257	4055	2185	2738	8348	10216	10678	7659	9464	9390	10190	8742	5761	10571	2323	170	11063	3939	1417	10393	9102	3872	8548
10812	6735	6886	6958	5094	8110	4398	5562	1346	858	194	4144	9948	9857	217	6256	5502	5275	3996	10214	9070	8802	3731	8158
8267	7685	3562	2529	5493	3471	1861	9714	5172	412	7775	1717	6667	2710	5796	7606	586	8745	10990	718	2227	4569	3974	244
5421	2658	9277	3924	5311	2856	1363	5515	5321	1957	82	6902	2951	1017	2628	23	9568	1190	8863	799	8679	2799	7469	173
2181	4127	2450	9142	4232	10272	7498	315	8916	1780	5893	8778	5336	8616	4015	2413	7257	10123	2873	4656	6612	1796	1797	9334
1981	10800	6993	4222	4540	8968	10740	8933	5058	4599	2919	9116	8835	2890	5206	4143	6891	650	5722	7843	4239	2148	4135	8437
10676	6966	4496	851	6752	1323	5939	7253	10767	8779	7167	9122	2304	1511	1808	8532	3121	9530	8777	7587	9294	10691	5174	9059
81	56	3889	4970	2546	8748	7460	6352	4530	8111	1372	8142	56	7990	10889	8991	1336	2383	5484	4063	8255	3595	3580	766
9026	5274	7540	1157	2267	2151	5277	387	6058	4894	371	1333	7423	10671	8028	5113	4053	6132	6666	9831	2880	2014	5244	6412
5359	939	5847	8365	9711	1836	2081	7971	3533	9745	3792	6113	8728	2411	10989	209	2911	8092	10682	3031	7949	7162	2662	4024
8642	3673	5147	1004	7819	1325	10967	6029	5893	2540	4949	10723	8907	7365	3492	2747	2507	7811	1334	6545	7964	10815	4931	4473
6218	9682	1115	6934	9154	8684	3973	2366	4537	337	6880	8076	5690	8379	9346	6922	9244	4968	5487	6399	2962	2743	3231	9105
4065	5721	9625	6831	2118	1680	4031	8401	8960	8187	10988	9819	1634	10312	773	6947	9168	5319	1197	237	417	1051	1426	10164
1627	6268	8146	584	9124	10630	43	8830	2092	10789	9500	1647	7656	5371	10799	6000	5528	2003	7389	9273	8349	4779	5873	8397
3252	2361	1400	10007	8538	1941	10996	7286	4565	8324	6385	259	6369	1439	10807	7797	3416	2205	2750	10948	1197	5866	10859	5719
9669	10303	6983	3299	5406	2603	7228	6578	3287	7442	3098	3862	3207	9138	8043	8319	1932	9341	5651	1887	3468	2477	4602	6628
444	4372	10006	8977	1958	7978	9728	9095	5885	6770	6391	8944	8588	2382	3828	3428	9526	10329	2576	7303	8513	2171	9027	1969
3138	7294	9395	3724	79	6754	4430	6090	7012	6980	8720	6512	1299	8111	10241	6730	3844	8865	5862	361	5920	4678	2037	7832
2401	7600	2890	5221	2996	10782	2406	2399	9913	3831	8495	643	6938	1431	8855	8741	7123	9679	1496	9989	9679	2699	5548	8464
10986	7886	1725	1210	3999	475	3458	4021	6481	2492	4506	9314	2710	4849	1338	6968	5615	3479	10335	756	3011	10143	7011	2854
4389	9636	7912	2215	2328	766	3840	10018	7826	2261	10243	2025	2752	11009	672	2163	2252	10853	6280	7776	1305	1450	4770	3193
8898	68	4139	6020	8448	2870	3594	6686	9473	7632	9360	3294	9807	2934	6224	9311	1649	10387	1544	9854	2895	6636	9110	5133
9772	4881	1449	2753	4475	6569	4920	10066	1344	8675	3983	10416	6867	11122	5332	3025	1984	4748	9340	6991	3250	413	7215	5598
9334	5415	8317	1006	412	165	9166	366	5699	3460	5781	8704	3130	2743	5845	908	8212	5744	8989	8636	2284	6126	4644	5985
9918	2186	2435	7763	10636	1602	9767	3753	6827	6083	1312	7592	7718	8697	2900	3480	7180	10306	10433	1185	3867	3196	4248	1536
1093	8602	10958	2960	7052	4886	2416	8975	2085	662	10580	1855	7711	965	2233	2301	6896	7860	9872	2579	2144	7546	10069	7299
7711	5251	3235	2566	5246	3409	3956	5397	7811	2182	7370	8256	9332	9889	3607	10890	8438	4168	1578	9270	10587	6784	2283	7395
3820	3193	1070	3507	3315	6906	9106	4828	24	2473	10207	1379	5876	5647	3172	6800	1546	10668	8661	5929	10179	2033	6343	1105
1187	10038	6754	8852	2959	3343	4486	7179	2361	8745	2720	4183	10624	3111	11106	10835	3563	6280	4968	2756	2675	9651	4302	782
1962	11115	8201	825	9245	2914	2664	1025	11030	2792	1206	5884	1153	5330	2231	2915	3662	10278	6371	4921	10932	8465	4795	959
8194	3414	3815	2348	5091	3354	728	6388	1177	9338	10285	7136	8506	3243	3845	4828	10134	9591	3084	10444	9231	1711	3881	6459
1270	1035	6105	10574	1456	1182	6103	4727	3986	7903	11119	6597	212	663	8980	1723	3825	2538	1376	1212	8013	7196	8622	10140
1091	6378	4001	11037	6337	4682	1084	430	5983	10135	564	6469	5282	655	5731	9461	8755	2326	10670	9097	2124	8998	7221	10294
6695	9673	8759	10381	5053	5541	9303	3558	1226	5510	7256	1721	6931	9910	2915	4652	128	6800	8552	3633	1468	378	3233	7975
2093	2173	4354	3452	10988	2428	2011	2801	10160	1057	2362	10847	6307	3927	2712	2642	7566	2254	839	2271	9204	2322	7097	11090
9884	9340	251	4447	10104	7491	2867	6958	3354	9724	928	7896	1949	7916	8779	4562	1120	4933	2052	2073	7696	9183	8482	3465
4529	5628	3912	6716	10067	8391	1455	1447	10336	4466	4906	5761	5903	9625	4867	3739	5569	8397	7260	1817	8774	4969	5447	6261
