0	1	2	3	4	5	6	7
5492	6955	14131	7656	6083	1840	1677	5395
8292	873	1812	10822	1682	4175	3309	1703
11943	14276	4716	13416	5849	10828	9706	5328
12861	928	1297	10898	2287	4220	471	1058
2712	287	10150	700	6571	7156	8447	2789
993	207	4957	393	2892	5039	8994	12314
6176	7410	5881	11729	5746	1884	4259	2417
8203	6282	6353	3976	7668	1720	9141	12701
10718	14615	12826	12427	4339	6267	5125	45
6159	11669	6993	9020	13020	5878	7005	9527
8646	746	5632	9662	10862	4867	14674	1132
2593	5842	6591	14447	11760	12541	9270	10579
8038	11443	9404	11963	7800	10171	10445	6350
11851	7418	5558	9215	2015	12146	6754	1090
7237	12645	6958	1311	4622	1618	8644	13474
5996	13256	1633	7022	2661	7384	3793	10893
10660	11008	6539	765	8421	14681	7317	4787
4008	2618	12268	6596	3135	10379	7491	9531
1077	6221	7120	11037	12252	4254	12049	7783
10161	3561	14483	594	1908	7974	3052	5394
